东西征南北剿博古通今,0,东西战南北剿博古通呃今。
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5939068.711449157,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5961146.060752319,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5995612.083594239,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6004836.6844630055,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6012465.825517112,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6016351.876814513,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,6024704.369520834,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,6038720.805335087,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6076862.757302969,0.1
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6089748.244815929,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6089748.244815929,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,6116657.385566698,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,6124516.071847123,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,6143077.253105979,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,6146494.811931563,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6155685.782200136,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,6165750.913014375,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6172346.016747977,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,6179107.3983051,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6179382.714103681,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,6183010.6341680465,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6185528.60384919,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,6191319.209892701,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6198775.734138543,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,6222363.586025087,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6227249.075225234,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,6236688.107480303,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6245072.0014104815,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6256209.898329964,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6271263.6272794595,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,6274092.680609637,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,6290644.712706311,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,6298283.426179797,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,6307803.161794553,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,6342579.649578749,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6353578.51382933,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,6383635.648767687,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,6387854.550714602,0.1
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,6391803.395532152,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,6404569.751178129,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,6407686.780675753,0.0
