尊一声过往的宾朋听从头,0,尊一声过往的宾朋听从头：
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,4409381.096317679,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,4417761.18546042,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,4427134.80564368,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,4429459.918662798,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4461231.554817526,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4465808.510556691,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4465808.510556691,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,4491162.284689162,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,4502707.992670916,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4509714.954875824,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4526564.934616039,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,4536964.660108167,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4537652.969640174,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4540541.751150834,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,4550126.872807705,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4553197.475609707,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4556199.928948316,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,4571378.788683904,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4586709.144773146,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4616831.291367801,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4633668.066948098,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4633668.066948098,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,4655421.633630391,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4668396.417436499,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,4674544.532221686,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,4675040.214729283,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4678734.968951551,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4689943.1591650825,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,4707279.879398737,0.09090909090909091
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4723548.075349375,0.18181818181818182
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,4742523.271082837,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,4744158.148798002,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4754518.921729271,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4759134.894524015,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,4764916.11693758,0.09090909090909091
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,4765325.928258696,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,4767551.225662814,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,4767551.225662814,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,4775288.068404824,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4776838.815775025,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,4778508.192535526,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4784127.559311166,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4784127.559311166,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,4800245.717353401,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4803693.889938764,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4811426.15710989,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4814859.969467666,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,4820607.520611235,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4826158.724677926,0.18181818181818182
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4828306.784855041,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4835648.802280034,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,4836396.403725719,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4859238.746590392,0.09090909090909091
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4875820.796006792,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4880484.413847396,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4880484.413847396,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4894797.665051021,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4896983.765977619,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,4899330.057457169,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4905883.24704236,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,4933111.553755148,0.18181818181818182
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4933682.9010087205,0.09090909090909091
