老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,7697431.383215448,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7712128.833413947,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7720541.060372112,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7721307.926781938,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,7727769.463827748,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7744664.697431586,0.08333333333333333
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7747731.065203943,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7759817.354487602,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7781495.122013399,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7836531.362388992,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7861338.704968613,0.08333333333333333
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7885164.082973667,0.08333333333333333
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7892278.69149005,0.08333333333333333
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7902642.599876765,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,7908415.647162639,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7934066.146222382,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7977621.629901921,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7988632.314220374,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,8006599.277948305,0.08333333333333333
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,8018968.556731599,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8079654.615926931,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,8090837.468570696,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8091506.799566265,0.08333333333333333
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8108235.123438913,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8111576.527680982,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,8125566.523916866,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,8128757.768793469,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,8132134.958501129,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,8164302.371754608,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8164755.36207623,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8176868.881019354,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8179634.14257631,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,8190546.413838468,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8199070.23957204,0.08333333333333333
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8203430.587118297,0.08333333333333333
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8212240.757079312,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8228458.332691361,0.08333333333333333
