左手拉住了李左车,0,左手拉住了李左车，
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5128839.658517012,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5130457.306437857,0.125
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,5145099.353925125,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5149370.511358261,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5180113.853691628,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5230703.578472371,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5254668.206300714,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5260322.352219551,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,5269958.215678956,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5283034.9300072715,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5289432.723246678,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5331725.715879357,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,5339507.287135652,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5341995.164913386,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,5353057.740206474,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5362769.991454451,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5380756.203606424,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5402109.255647817,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,5460333.039651163,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,5494296.667718281,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5516741.573002033,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5531715.2270928435,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,5536873.419763253,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5542335.61457694,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5546630.141897754,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,5586074.170266379,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5608957.738039078,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5615094.168978624,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5667576.604828889,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5675714.791215967,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5684842.942135333,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5685826.686762976,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5689108.86958033,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5694639.559041178,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5724431.903669158,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,5730958.353158447,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5740516.960861184,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,5746585.604002701,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,5784177.415762197,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,5796775.637462411,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5826599.5077300845,0.125
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5827712.274623282,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5837428.344888373,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,5856917.412316215,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5860105.140074383,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5873195.399588233,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5876749.0686410675,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5891352.583299033,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5893412.861584888,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5914190.892375781,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,5924484.0743277315,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5933864.543561832,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5950550.257829281,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,5952965.210615739,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,5958375.372695932,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5968180.103543826,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,5972185.553895959,0.0
