娘想儿来泪双流,14,娘想儿来泪双流。
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6228312.643278495,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6229800.8736598985,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6234877.341470012,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6243319.137553056,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6243319.137553056,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6283774.89879922,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6287264.18818013,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6340008.803760431,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,6356868.194743829,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6361498.829388344,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6371753.893841634,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6386047.500659131,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6413485.902002424,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6450184.610888003,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6476447.002360091,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6502064.952428675,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,6516877.719698715,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6525187.495619127,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,6527979.719853843,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6559337.630988606,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6563361.955349922,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,6563776.636965632,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6623878.479142903,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6640734.545753298,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,6642179.767524092,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6677852.685370173,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6711772.678836532,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6735343.351156977,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6738031.944006676,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6746140.6561041055,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6748730.946741303,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6779394.618875735,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6793955.827100506,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6825502.023092007,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6836515.9398414185,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6842246.635087773,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,6848569.309013243,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6848929.333746514,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,6849476.333630122,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,6861815.147972291,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6886996.883553025,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6898121.942596978,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,6909262.748049834,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,6916718.211950211,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6917261.930441139,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,6923600.886816435,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6923860.2151957005,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6934779.142638951,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6948683.597199702,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6948770.144772885,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,6989879.042022069,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7008904.11594948,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7018409.228258718,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7033478.027284412,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,7050486.334348008,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,7057517.923769874,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7066422.515121682,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,7075308.794485671,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,7075308.794485671,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7102515.501831856,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7108605.816868918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7134671.906860403,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7150094.149784536,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,7158532.928590909,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7180048.4732748205,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7187676.579582806,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7189935.39368472,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7203673.441983001,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7203698.729370631,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7208418.442174032,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7228940.899744351,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7235385.135839216,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7241879.266367386,0.14285714285714285
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,7258148.016841712,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,7271592.2938148705,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,7279242.526943289,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7292565.301003852,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,7301379.761967397,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7324771.942401755,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7352803.306248413,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7370455.744507585,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7372002.586037919,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7382251.077893458,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7391979.278279791,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7401124.548267514,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7407348.789353019,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,7417761.419201718,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7424210.13463447,0.14285714285714285
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7424472.02303611,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7438557.629414363,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7482749.529918537,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7483450.238221968,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7532970.769511897,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,7534716.578334656,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7544318.923905889,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7557458.142196869,0.2857142857142857
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7558883.653980705,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7562090.294468538,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,7576793.447878243,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,7580360.156401595,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,7581354.013393651,0.2857142857142857
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,7649858.345313299,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,7660867.2939845165,0.2857142857142857
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,7664844.605782611,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,7675211.594743509,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7678967.972060163,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,7702535.744299919,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7708452.765151202,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7712210.281579585,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7713738.921338527,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7728993.554758632,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7755866.876648477,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,7758019.086934353,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7758377.200015915,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7778445.074829177,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,7779079.874225623,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7786072.715634514,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,7801191.924628038,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,7806179.19182826,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,7806179.19182826,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,7808625.210725806,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7834483.8161402475,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,7835605.005320842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7845959.7866983665,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7846206.286161251,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7854124.900827097,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,7881191.683232343,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7886323.281012877,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,7888882.116799058,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7892686.415179015,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7925060.5325723775,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7933974.558568999,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7933974.558568999,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7937296.409665783,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7937543.362322014,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,7939336.908101825,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,7941269.266419713,0.2857142857142857
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7954617.229084743,0.2857142857142857
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7959309.766643536,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7972393.887456461,0.0
