因此上发配到登洲,0,因此上发配到登州。
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,3516870.175775249,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,3541083.1288126046,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3582793.2865318395,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3585165.3447903907,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,3585638.936407509,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,3588896.5712935627,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,3596417.792825574,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,3609542.5918247616,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,3621708.898387524,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,3623772.0486593386,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,3631865.56723606,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,3632519.5851221136,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,3634662.3008535085,0.125
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3634706.0348146996,0.125
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3656769.6760745747,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,3668824.567329262,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,3669818.6730157635,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,3674524.269492017,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,3684133.1270187837,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,3705174.431819372,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,3706473.90626998,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,3707702.0358179975,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,3710960.3886416242,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,3714603.5158927073,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,3715062.925686245,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3720911.4156222353,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,3745794.815795021,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,3746419.833328371,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,3763895.428340498,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,3767837.5103773703,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,3770191.708309825,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3778163.6678424766,0.125
