杨林与我来争斗,0,杨林与我来争斗，
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9214928.691623745,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9250173.345594577,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9251177.090706222,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9251903.610839443,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,9257304.594190547,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,9276266.216889568,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9330714.698286086,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9366058.380397785,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9404507.596441472,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9405022.01698489,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,9439414.601298567,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,9525437.717012348,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9573185.284189021,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9597349.673976757,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9722506.592871053,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,9739000.447022531,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9746629.647688225,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9800918.170657223,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,9805112.361780195,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,9805498.585378874,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,9882013.696601937,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9913243.592903847,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,9924202.332916688,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,9963886.81701904,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9970876.299743155,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9978546.353953382,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,9991889.50946957,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10014773.166827295,0.2857142857142857
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,10107764.61620511,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,10113961.003889533,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,10139934.257546235,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,10187733.676302427,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10222009.071990207,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10309494.035939664,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10323811.45600002,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10363178.777665455,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10374583.967030514,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,10392383.010990588,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,10436575.857709313,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10447280.131739117,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10449121.414147431,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,10480122.614628559,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10493935.726500457,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,10495688.223486258,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10530661.600652933,0.14285714285714285
