实难舍街坊四邻与我的 好朋友,0,实难舍街坊四邻与我的好朋友，
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,5485936.436100374,0.07142857142857142
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5491832.775516308,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5501058.884936544,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5503748.851318513,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5509655.045608341,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,5597043.151634205,0.07142857142857142
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5610098.269847977,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,5616589.748621944,0.07142857142857142
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5619253.391556468,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5620832.842822147,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5623771.907091848,0.07142857142857142
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5628799.826560365,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5634934.015344344,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,5674651.2819301775,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5675649.638705985,0.07142857142857142
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,5691096.249865411,0.07142857142857142
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5722580.308575612,0.07142857142857142
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5737201.275662763,0.07142857142857142
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5747612.621360651,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,5782538.525355211,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5782806.709311367,0.14285714285714285
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,5784246.7229889985,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5786496.35295456,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5820763.596636667,0.07142857142857142
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5828990.113121651,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5837522.663785354,0.07142857142857142
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5845467.102822959,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,5845694.317678656,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5866573.931641734,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,5893807.027984207,0.07142857142857142
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5901760.468423281,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5903861.025338352,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5908390.1757114595,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5914951.565228512,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5929380.4416396385,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5942621.188163889,0.07142857142857142
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5947260.615356817,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5952466.818427101,0.07142857142857142
