娘生儿，连心肉,0,娘生儿连心肉，
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,10011111.660175204,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10028997.690283839,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10065738.587623475,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,10071998.012006039,0.14285714285714285
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10123462.4419178,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,10154297.352682417,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10154999.804710936,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10165383.696997182,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,10170290.940789297,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,10184627.087467076,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10235438.385650141,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,10292369.395671463,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,10317696.132882155,0.2857142857142857
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10338363.48976289,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10411242.242229996,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,10419274.080698138,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,10424893.530715592,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,10445730.264481355,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,10447720.38536472,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,10449901.017353185,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10495742.268581914,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,10598440.600807875,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10638273.907975372,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10654562.386284923,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,10679681.606446557,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10704058.619978229,0.2857142857142857
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10720028.130236547,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,10787840.973481141,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10796261.328754108,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,10802701.41188621,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,10809863.713221082,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10847801.474875286,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,10851745.00760259,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,10880794.762593707,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10898730.014567418,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10914550.488717794,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,10915229.962214863,0.14285714285714285
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,10936560.19373443,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,10936747.105039544,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,10946218.286440415,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11027496.964266296,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,11068223.68392628,0.2857142857142857
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,11116038.870878773,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,11123049.981451502,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,11133720.920450304,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,11186658.697364787,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11254810.49207587,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,11332085.261472696,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,11403376.805869132,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,11481629.002087694,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,11481629.002087694,0.2857142857142857
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,11507289.747758264,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,11507289.747758264,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,11515171.747035079,0.2857142857142857
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,11541762.973364424,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,11552657.860386578,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,11563241.963019751,0.0
