他将我隐藏在后花园,2,他将我隐藏在后花园。
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7003409.059850115,0.1111111111111111
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,7057919.299573535,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7058129.244744101,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7121801.433747699,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7131779.582901208,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7140395.675287207,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7142511.141011569,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7151381.104773118,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,7152783.237837098,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,7154400.196948539,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7154789.084654017,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7160715.835323249,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7165764.820625769,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,7176975.147089895,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,7185711.1101434,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7214570.150726656,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7235623.003642084,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,7236975.541972319,0.2222222222222222
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7254358.351918885,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7287225.504141493,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7291637.02487042,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7307527.931650604,0.2222222222222222
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7309304.624941516,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7320788.900115261,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7337657.198183893,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7356365.996076531,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,7360898.644662119,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,7373349.708368447,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,7404143.946705614,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7406027.694096678,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7413997.654814637,0.2222222222222222
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7416742.025954428,0.2222222222222222
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7429044.700288494,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7433056.6726935925,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7444854.319632197,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7446860.092209467,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,7447870.096553157,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7450723.330866068,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7450723.330866068,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7472339.545248099,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7479551.840813004,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,7488753.858585068,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7524959.731138439,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7525523.7896843,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,7536678.212929627,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7563524.301034751,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7567147.487446956,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7570816.360233047,0.1111111111111111
