啊、生死二字且由他,0,（啊）生死二字（喏）且由他。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6580812.556545132,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6589448.354987415,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6601843.387519777,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6602826.892134385,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,6607315.35568016,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6640844.488214512,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,6655732.940155014,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,6675790.377217696,0.1111111111111111
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6695780.758600062,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,6705799.679936041,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6708516.971508206,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6730982.503457174,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6752306.647897193,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,6778878.848535728,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6785713.782015991,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6796802.090290144,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6800419.499542758,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6805455.768837975,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6841115.100142745,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6845517.820622936,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6869048.415694336,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6872453.378927807,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,6887358.308057811,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,6909766.419094533,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6945835.38253475,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6952804.500818499,0.0
