二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7889751.867780803,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7890674.97216416,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7915187.546476442,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7931167.929455177,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7938811.648579118,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7951005.719526535,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7957364.259806452,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7967493.716008196,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,7991591.389581589,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7992557.8858853,0.1
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7994626.346400872,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8007081.710066755,0.2
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8025835.623847419,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8031615.783771555,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,8047218.691612958,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,8053249.77301504,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8065752.376324468,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8073448.9908004375,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8085533.897888523,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8091790.316365515,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8096801.808501646,0.1
