实指望到吴国借兵回转,0,实指（惹）望到吴国借兵回转，
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5789561.556033134,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5798379.768914855,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,5811387.303214574,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5839063.183802887,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,5839319.447361063,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,5848884.1230422715,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,5879180.1895615645,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,5879306.444426124,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,5917335.028926593,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5921465.483436381,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5924856.5368628185,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5929226.812655896,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,5965639.184928509,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,5969404.6307905065,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,5972869.897404091,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5979468.595505851,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5984046.094370786,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6009672.491694085,0.2
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6022444.490875592,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6029101.541790452,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,6038914.466753331,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6049490.338748222,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6080897.329218494,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6087676.298494971,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6087983.863128847,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6104896.857140542,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6109683.842692574,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6116833.081071121,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6127077.262686219,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6131832.043889853,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,6135730.7866497105,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,6137606.535183377,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,6137606.535183377,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6139637.316236974,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6159329.3159455,0.1
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,6159900.505931666,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6165788.9235435715,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,6172074.380060266,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6197481.22631453,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6198335.788428085,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6214088.849469189,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6219632.131699951,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,6227800.104993389,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6237560.0877157245,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6242329.947932564,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6247465.601892143,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,6256104.804014007,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6278642.0946542965,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6280354.410991158,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6281449.563186197,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,6283003.413573474,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6295372.79816315,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6299544.924353084,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6304432.628629429,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6305041.737266881,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6308775.864678243,0.1
