我好比鱼儿吞了钩线,0,我好（呃）比鱼儿吞了钩线，
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7874607.323472677,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7876145.079410254,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7893547.6259132,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7934514.92710862,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7934746.966665314,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7944122.527127583,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7945374.0226584,0.1111111111111111
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,7972192.578574307,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,7985065.784566699,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7999249.903253722,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,8014191.643312456,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8021694.613283755,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8023674.537404981,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,8024931.977744433,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,8032813.72410295,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8035024.722278662,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8036032.524713602,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8037239.187616902,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8045725.818321659,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8068171.997785255,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8079196.415449909,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,8107865.962481185,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8114339.408719005,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8120214.108861168,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8123832.005495776,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,8126313.221216378,0.1111111111111111
