诸葛亮怎比得前辈的先生,22,俺诸（喏）葛怎比得前辈呀的先哪生。
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,9814726.61556894,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9818384.425430568,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,9827895.877008323,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9837665.108996416,0.18181818181818182
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9846871.086683914,0.09090909090909091
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9866170.929204509,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,9884804.878068307,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,9886191.419811817,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,9894323.650009483,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9895316.392414179,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,9901116.731672881,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9904136.09879424,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9921179.95060402,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9935630.534430727,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9950857.508144002,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,9956334.57518209,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9960759.66152562,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9964008.711351573,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,10004238.160268625,0.0
