三人同把那鬼门关上爬,855,三人同把那鬼门关上爬，
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8796825.46399024,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8818870.575817894,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,8832878.334652407,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8838011.438322106,0.1
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8839168.771872299,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,8839441.04880322,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8840605.595142579,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8863492.042537967,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8940297.456444038,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,8966209.960240051,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,8968166.257561171,0.2
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8983125.248775233,0.1
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8998962.375905205,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,9005973.94481795,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,9018245.919282347,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9034781.496623078,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,9044500.065906743,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9058956.154275337,0.1
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,9061609.785874903,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9080989.184628889,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,9093252.820238205,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,9119448.500419348,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,9144300.398939105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9206206.29997656,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,9239303.229447812,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9258783.309002824,0.1
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,9268458.319525797,0.1
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9284366.13786107,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9294815.664114205,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,9297150.70967299,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,9300866.754067162,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9307801.925654594,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9350557.719907556,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9351469.572083883,0.0
