叫一声解差把店投,8,叫一声解差把店役。
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,4610459.854619094,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4613112.580667244,0.125
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,4615765.271355107,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,4622012.68576109,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,4636723.142945402,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4645457.437651578,0.25
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,4660142.414456553,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4664128.7256655255,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,4669452.859960989,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4669452.859960989,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,4674731.683826831,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4676848.100788532,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4677235.807308493,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4699741.93960282,0.125
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4701323.692565224,0.125
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4702869.88175539,0.125
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,4706778.705346811,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4711329.875517083,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4718117.074126826,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4718117.074126826,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4718449.555346602,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4719080.976574585,0.125
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,4732721.023517705,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,4745082.887581476,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4764558.147978119,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4768755.832566723,0.25
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,4771280.287258257,0.125
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4772909.078916147,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4775067.697330035,0.125
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,4784241.677006507,0.125
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4784807.504436453,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,4787228.719275598,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4788490.10483847,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,4807544.403950847,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4811560.433864854,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4817019.72580889,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4822249.385188447,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,4822679.259952615,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,4822898.900472897,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,4836278.16930364,0.125
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4837712.646779551,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,4859810.175996941,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4861759.026393727,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4867221.2873741705,0.125
