耳听歌笙闹喧哗,0,耳听笙歌闹喧哗。
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6361440.925947636,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6363782.128190094,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6367816.615437828,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6369251.543915397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,6382228.042974832,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6384443.150953866,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,6388022.496823688,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6388447.390715925,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6390517.798336651,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6396389.518346391,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6404502.058883708,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,6425076.5287118,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6429958.128343679,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6433599.517363172,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6435784.643079882,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,6444427.109971417,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6460326.837422557,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,6462719.27060689,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6470026.23845484,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,6473139.730483034,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6478444.256008892,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6484151.162010527,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6488064.243491474,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6496569.132310227,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6507993.567826172,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6526465.0062157605,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6528086.193089412,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6553055.348755729,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6554133.566554197,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,6558527.566200244,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,6566045.602900258,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,6582142.383163368,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6582815.749463786,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6587222.737558213,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6588679.620061363,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6606690.634677596,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6633026.697905602,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6643702.2744987765,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6651661.571287042,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,6675364.102348275,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6676629.806214356,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6687233.356889368,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6699241.775240734,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6699846.9656912,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6699927.463046862,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,6708363.1548584765,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6709823.1164965425,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,6710937.417787212,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,6721601.0446958,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6723055.086481566,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,6729378.82898511,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,6729669.227134434,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,6733298.576573252,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6744871.662269899,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,6745141.861436471,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6745315.855353084,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6746499.565668925,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6765418.964517523,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,6780797.1427811,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6790891.976276888,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6809212.262818826,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,6819781.733175898,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,6822607.326874864,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,6831960.551176615,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,6835566.886646479,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,6840813.112562663,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6846963.618043278,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,6850431.677625835,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,6854453.38069906,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6860202.793811011,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,6862006.675863879,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6866986.519803902,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6871202.960554828,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6893920.85713919,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,6896893.174877336,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,6907661.798447316,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6924064.422340798,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6925638.430952281,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,6955801.480987123,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6963226.704081565,0.2857142857142857
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6966511.227296815,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6974276.710726588,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6979022.640775787,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6985610.330708254,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,6990697.820767117,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6996928.010456877,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,6998485.435400996,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6999401.133019461,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7004125.186215976,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7005634.957197763,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7007174.564011473,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,7051683.337263013,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,7052495.845213995,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7058614.729256402,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,7074821.866007143,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,7074869.987888476,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7077466.703964544,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7081395.175221293,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7104064.776640438,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7118218.22420911,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7142053.615188663,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7142370.255206419,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7142538.069997483,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7156709.2627136465,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,7161944.83741595,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7165194.258873089,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7173087.240380596,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,7177996.522052415,0.0
