二不是歹人把城偷,0,二不是歹人（呐）把城偷。
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5298613.212649675,0.125
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5313321.470075414,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5340361.947991878,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5340615.508519048,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5350158.014145093,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5352930.00589697,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,5376779.6825008355,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5383092.479799118,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5394910.519027463,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5398161.954059072,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5400865.910248693,0.125
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,5407349.002681147,0.25
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5410075.437830968,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,5420509.524652979,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,5421075.098858286,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5445745.7846879605,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5455101.090672663,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,5457250.59411032,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5463534.902216324,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5480876.3213160485,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5497638.0200727265,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5513312.403185983,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5521775.6969549665,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,5544218.195890795,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5546959.007911646,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5551893.089102001,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5562257.651685189,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5578962.367290362,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5593478.163325707,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5621495.299700414,0.125
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5635553.376148496,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5644230.119741862,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,5644445.200946938,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5656632.671524484,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5664846.477080236,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,5698234.6682300195,0.125
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,5710096.6513680145,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,5714430.668887902,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5720523.922015776,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5729570.346766765,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5740412.982614897,0.125
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5759668.442502642,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5780386.982904585,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5781259.324059532,0.125
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5793771.688813898,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5794318.360788956,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5794318.360788956,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5840570.508845671,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5851617.422731592,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5874107.33190007,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5883670.567953684,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5892618.049335545,0.25
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5926297.25455441,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5936522.765402352,0.125
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,5940608.04373237,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5941278.7909189835,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5945706.042520537,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,5947949.196780426,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,5954477.926410251,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5964833.8868212355,0.25
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,5980800.458963079,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5983810.69304217,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5998160.038935209,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6003038.559329613,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6009476.68312375,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6012311.589253085,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,6034454.28642754,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6034695.810552283,0.125
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6041793.943229914,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6049396.702894651,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,6061078.744493016,0.125
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6066764.828441452,0.125
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6071060.348511828,0.25
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6083381.629041077,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6114109.839474785,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6128217.951447235,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6128232.349802604,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6149240.312083624,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,6188078.410086876,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6188909.392326014,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6199149.478359411,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6210531.518936527,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6218021.053819635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,6238767.305970092,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6289387.390660924,0.125
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,6291975.655466618,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6293354.534580455,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6304339.81083911,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6307537.94796185,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6327807.157325452,0.25
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6331297.046721437,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6335589.074239206,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6337524.088778478,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,6338432.816385688,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6368451.716969019,0.0
