娘生儿，连心肉,0,娘生儿连心肉，
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,10475257.821318682,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,10531728.391073173,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10554196.555327354,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10571925.127402356,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,10585958.03480516,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,10591184.227389716,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10630497.910681799,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10656707.612709606,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,10662708.83732567,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,10662708.83732567,0.2857142857142857
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10672898.338843524,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,10694102.592091337,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,10694102.592091337,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10701300.308740966,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,10756709.993764855,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,10795909.91157262,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10908772.515495582,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10942979.43701699,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,10971664.268469926,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,10974449.260910323,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,11021771.521981334,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,11029041.406355457,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,11031108.968461182,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,11051509.288058586,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,11055420.221959796,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,11073525.309021283,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,11099701.02417557,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,11121147.71504678,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,11168574.186391398,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11182496.230410706,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,11197480.721472228,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11203515.671092123,0.2857142857142857
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11259730.539172174,0.14285714285714285
