儿想娘亲难叩首,0,儿想娘亲难叩首，
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6489128.742261172,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,6497743.160398299,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6530025.748404674,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6547120.038209487,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6550981.99414984,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6587924.0639034305,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,6593259.632510978,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6593727.918500609,0.2857142857142857
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6608408.366139424,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6609924.71184685,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6629263.3238429865,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6652693.8573294785,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,6655794.663759877,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,6656862.062017605,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6731448.163687019,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,6743381.117603996,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6769831.905659818,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6825610.655435747,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6832584.593268446,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,6834073.120138105,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,6864572.850154905,0.0
