右手再把栾布拉,0,右手再把栾布拉。
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,5881015.346118332,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5889771.509352741,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5905211.878972047,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5913749.061876929,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6028858.913705692,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,6065090.02822588,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6104332.893781686,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,6109015.181532972,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6115840.3562885625,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,6127368.810146077,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6160313.183749911,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6165421.020926939,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,6178622.022960358,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,6178622.022960358,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6179315.146781768,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6183307.743453688,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6205607.580857361,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6272753.542018433,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,6273429.186043855,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,6304417.838706179,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6315671.742144278,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,6317845.1350509515,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6320042.126908876,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,6322381.083732262,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6335422.445009335,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6341751.310945242,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6345846.117042296,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6353016.571691916,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6354145.75209595,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,6365087.3269110555,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6368823.892835766,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6372434.999436601,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6380856.018955053,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6421718.477858662,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,6435681.402402677,0.14285714285714285
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6437924.742522159,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6459245.288310308,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6475688.486090082,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6475691.669692054,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6536284.290264181,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,6536284.290264181,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6538475.803119032,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6564313.219549988,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,6568063.95894223,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6571827.69629374,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6617301.8519412,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6619940.307839906,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6623656.485316626,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6627354.271553377,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,6631980.40308809,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6638414.4680073,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6640875.378797847,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6659403.004934399,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6672422.994466204,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6679723.555420033,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6681888.952517186,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,6684418.0364157725,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6689406.34352338,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6693281.62825641,0.0
