深宫无处不飞花,24,深宫无（哇）处不飞花，
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,4342409.4065312175,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4347831.906912945,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4358905.632236797,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,4375134.5131208645,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4379165.262242112,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4403046.928385424,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4410438.548605339,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4429738.282833314,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4440275.45431931,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,4442745.439290145,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,4452777.720205663,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,4460825.630297288,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4467430.454043952,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4470192.484155663,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4474838.429685118,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,4475654.962886722,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4477801.10755586,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4493207.716769504,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4500118.128527302,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4509677.326561549,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4509677.326561549,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4514801.905340812,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,4530356.837578651,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,4530819.712831881,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,4539359.432604154,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,4539448.300329779,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4543864.95679236,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4545763.622490046,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4549764.6113340445,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4552700.908507327,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,4553916.67318579,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4557429.978023973,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,4560773.645857704,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4577813.245857353,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,4586721.3767797435,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4595304.478221707,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,4606974.578090781,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4620864.098053378,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4649328.464210605,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4676343.2141655665,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4679554.915774742,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4683470.061953144,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4693277.888285448,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4695453.252901338,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4704053.771457114,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4711113.499328834,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4750370.891442202,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,4756361.132537952,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,4758275.029748886,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4761362.278354891,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,4766980.286034432,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4820772.623962828,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,4826455.938574733,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4842841.995444195,0.2857142857142857
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,4847263.382837253,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,4847289.9307702305,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,4866122.501080084,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4869932.415894425,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,4873179.746216714,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,4893889.161749041,0.14285714285714285
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4922361.057577923,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4945632.721465505,0.14285714285714285
