是响马并贼寇,110,一不是响马与贼寇，
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,9974734.89827531,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10044758.033684904,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,10059466.265976468,0.16666666666666666
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10094163.192047343,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10117594.683403827,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,10151345.791484967,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,10175482.620727077,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,10182738.066742273,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10190884.084316807,0.3333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10233574.486041218,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10235954.341782372,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10238507.86547878,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,10240369.074381894,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,10297484.772311298,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,10334142.513194287,0.16666666666666666
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10350045.036281982,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10386380.856726004,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,10415550.40419855,0.16666666666666666
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,10433477.521505594,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,10479957.22128013,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10491055.742973108,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,10503016.52970886,0.3333333333333333
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,10584375.842678098,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,10663142.987096516,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10706388.525423933,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10716468.030730482,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,10749078.744322643,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,10765189.076677749,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,10774368.272641132,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10873998.662322706,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10909211.320116095,0.16666666666666666
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10923181.15268484,0.16666666666666666
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10949389.157281466,0.16666666666666666
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,10977773.554531023,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,10992711.501019426,0.16666666666666666
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,10992711.501019426,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11015759.62109407,0.16666666666666666
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,11016296.569735777,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,11060289.933253232,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,11060289.933253232,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,11081063.495796094,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,11104270.651441755,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11122507.318380326,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,11142999.83329955,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,11172719.710466564,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,11206090.829687862,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,11251556.144207072,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,11272556.870139647,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,11315018.80705257,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,11339624.379384339,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,11359503.93733688,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,11378902.242568038,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,11432303.31665532,0.16666666666666666
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,11438045.752451451,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,11446096.18241247,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11448547.288934106,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,11449458.906491835,0.16666666666666666
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,11458944.450634168,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,11506745.21963168,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11551733.531425498,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11573357.891052002,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,11603364.930796558,0.16666666666666666
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,11622400.518224342,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,11634059.893185163,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,11664267.091739332,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,11702310.44192928,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,11704482.252587773,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11711128.143349532,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11718053.862679187,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,11727854.843538249,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11731344.908954103,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,11809254.737552252,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,11817189.816605449,0.16666666666666666
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,11817769.782196224,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11822084.535397498,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11831541.630371826,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11841669.712148843,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,11857068.005051088,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,11890438.484673241,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,11899900.616608253,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,11938867.323705848,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11971261.974677421,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,12001722.36359408,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,12014701.658032672,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,12031577.285616426,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,12042609.267326694,0.16666666666666666
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,12087323.009395119,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,12113996.19038658,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,12131874.110123238,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,12149486.069123292,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,12152855.016204618,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,12167939.067007482,0.16666666666666666
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,12176799.374306357,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,12211597.290638534,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,12230567.613157649,0.3333333333333333
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,12258453.67669327,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12282928.054299444,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12373572.23762642,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,12374252.98043207,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,12426482.481942583,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,12459408.007429557,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,12462147.876496982,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,12467713.243317325,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,12505114.53759307,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,12505764.17433627,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12517174.87190192,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,12521619.967510052,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,12534590.946504535,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,12538786.069173854,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,12565339.499627657,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,12580859.45041715,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,12629867.662197115,0.16666666666666666
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,12640205.691086113,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,12689605.28257892,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,12693257.978239177,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12806200.877905859,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,12818258.358720122,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,12886431.027712004,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,12941496.497868346,0.0
