舍不得老娘白了头,0,舍不得老娘（呃）白了头。
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5598627.93516903,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5616910.338298091,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5622142.69571701,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,5626101.78525296,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5631735.946517585,0.25
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5636625.151061237,0.125
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5643127.772211434,0.125
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5678977.7756946,0.125
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,5685147.379470947,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5689342.2005563285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5775343.852625378,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5814104.146759105,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,5819680.654114933,0.125
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5829460.281391225,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5852471.105226383,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5863598.691733416,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5872934.683412883,0.125
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5893099.781426309,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,5897605.454585489,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5905847.716516579,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5935431.462933119,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5969688.980663994,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,5971357.110138,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5973008.486892553,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5980507.0006736675,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6001551.302184543,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6003726.78591483,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,6013423.972945991,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6017560.737357561,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,6024606.116130525,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6047446.9683968555,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6066138.457848366,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6071997.0840569455,0.125
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6089902.125817845,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6090754.354315307,0.0
