又谁知焦克明他私自后跟,11,又谁知焦克明他私（呀）自后跟（呐），
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,9695645.109530536,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9717744.482745763,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9718371.041842269,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9787982.424026337,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,9801161.763406098,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,9805045.718182037,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,9808361.594659146,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,9816126.55342942,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9834785.664731063,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,9861264.91855159,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9881854.42571626,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9886330.55359906,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9889966.663705058,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9907151.322979255,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9909472.895998636,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9914818.59662676,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9942616.885060515,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9961572.823733868,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,9990942.09685299,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,9995235.454086764,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10041303.848196534,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,10048839.0133056,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,10050064.401050655,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,10062616.440477237,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10075165.866855368,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,10080652.883246575,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,10080652.883246575,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10087981.263844034,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10099587.462089138,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,10101651.746450676,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,10101730.7312091,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10109120.068456605,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10135261.72157423,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,10147444.492385076,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10155704.06352055,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,10170507.476438416,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,10214195.594946196,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10217462.85139904,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10267884.113062423,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10363778.696300028,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10374356.76056122,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10386028.79128302,0.09090909090909091
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,10413228.39730043,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,10448722.488996144,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,10452142.18253555,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,10464950.673960738,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10490567.299265243,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,10493966.249933474,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,10493966.249933474,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10504642.370109448,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,10521890.020427661,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,10567945.15382608,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10578679.9535876,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,10579796.450182207,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,10595350.769104298,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10618662.688358076,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,10633194.597036794,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10647721.386268971,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10689992.952198787,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,10705253.070826508,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,10727403.577660473,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,10730105.55572915,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10731796.845960014,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,10740855.259030692,0.18181818181818182
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,10742355.107334426,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10746152.506662566,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,10750594.98399148,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,10792999.347929236,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,10800091.25222868,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10832045.184951419,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,10834011.887011604,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,10860876.89349961,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,10879610.454684181,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,10883075.451589625,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10895744.98481788,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,10926221.027108481,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10941415.861413721,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,10956197.579453021,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,10960355.304048786,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,10961116.786211357,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,10962257.411390726,0.09090909090909091
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,10980042.03718649,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,10984446.843609823,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,10986592.620355016,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10988212.835250031,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,10993069.959475575,0.09090909090909091
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10996173.544739049,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11015419.160917178,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11033230.801147161,0.18181818181818182
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,11046584.835999949,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,11067458.404980714,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,11068746.615195982,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_5,他舍命来你我舍亲生。,11073022.748162063,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,11075906.455202833,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,11083585.680341009,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11085234.935417548,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11093385.82092541,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,11103268.07152444,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,11114563.627164379,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11135465.387822216,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,11181095.724644002,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,11202290.218784265,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,11224327.400736721,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,11243019.397692114,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,11243019.397692114,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,11247595.989654534,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11263407.226877702,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,11263542.061846571,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11293558.898478163,0.09090909090909091
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,11293749.625144983,0.09090909090909091
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,11296380.356608996,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11309370.69253506,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,11310082.522580203,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11335542.205376362,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,11353442.951763943,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11363229.49484244,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,11369309.289290808,0.2727272727272727
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11371893.333765686,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,11382788.880753033,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,11399041.950679643,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,11425543.819829093,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,11429871.629462479,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,11451968.120963253,0.09090909090909091
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,11451979.196191113,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,11481110.25406108,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,11490247.215537952,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,11517365.482920462,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11547030.261976704,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,11549827.563271683,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11551019.491648208,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,11572148.850775039,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11577638.653336797,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,11598956.610498598,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,11599227.15563603,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,11605192.150805948,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,11644782.374485137,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,11647536.864820564,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,11657381.784469951,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,11674311.403420959,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,11689500.431561228,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11702575.935248177,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11719713.438176911,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,11742412.752796218,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,11755903.43813666,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11762422.63718165,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,11772229.981237767,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,11778526.004782347,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,11790914.311115688,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11791516.620905763,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,11800499.994677924,0.0
