谁知昭关有阻拦,0,谁知昭关有阻拦。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,6743676.521422323,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,6768954.543238869,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6792329.514807778,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,6796105.02812464,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6829230.933216144,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,6836100.524970388,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6839713.654553722,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,6869049.720756265,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,6887696.3683949215,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6902576.615133552,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,6914292.470883217,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6918759.240875374,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6933944.62395568,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,6962548.347589508,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6971081.357134541,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6987351.762492498,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7025982.220114794,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,7028077.444331779,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7031880.420702235,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7032780.554288504,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7094813.278987717,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7098144.133369638,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7099157.529998602,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,7112708.3896678975,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7121004.346421285,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7121386.215204149,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7160193.468846588,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,7188312.244443155,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7194145.057251004,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,7199597.154659377,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7199880.212501585,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,7237543.259909603,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7250397.706586072,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7257763.814149803,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7280610.500319585,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,7282324.853676554,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7312994.847250519,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7331065.063644824,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,7343826.086629609,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,7344016.461632806,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,7347342.6486803675,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7348298.713587643,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,7382888.8740850985,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7389961.648683311,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7454197.526508957,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7513562.682868867,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,7526292.257559293,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,7530728.869331562,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7556423.96745426,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7567669.683521215,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7607521.945413299,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7636741.583736356,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7666026.639154154,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7678668.310949551,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,7732629.588327257,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7740862.778089879,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7742718.462982353,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,7755546.692689604,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7775648.793595757,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7792492.044077708,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7792772.847753156,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,7815689.063119175,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7844476.5856803255,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7877471.241902156,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7897384.700082717,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7911704.972733523,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7921494.72155384,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,7944002.921399348,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7944688.869274193,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7956126.117476097,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7962127.488045032,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,7967163.994305288,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7971077.127927449,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7973705.019079797,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8005914.567217017,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,8032903.72651901,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8042271.71777931,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,8072601.421406975,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8078802.0586822005,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8098317.355427887,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,8119540.364716357,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8131720.89068036,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,8134855.937703166,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8138100.425526724,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,8143126.713107255,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8158965.610223198,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8165412.997204134,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,8191117.858970473,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8208753.21561009,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,8231893.875669619,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8242957.5873776665,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8244308.101149885,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8250607.546281723,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8252742.401944115,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8256174.118770743,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,8265913.275796992,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8267232.3266995335,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8268850.459708987,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8313238.537800359,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8317143.567639839,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8318833.230899606,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8320567.660711303,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8344853.150686308,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8349625.852311199,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8358631.290507285,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8371557.935751043,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,8371617.72855388,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8393743.037661735,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8398714.41371508,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8413195.849363014,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,8415503.187195199,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8425347.69777326,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,8454845.769925436,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8484307.223342447,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8492317.161574718,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,8527981.139105543,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,8534688.006914936,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8570672.045350933,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8624345.3103816,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8625722.470992733,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8647189.50317845,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8649023.789007226,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8654069.524531718,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,8673508.627185509,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8682425.771760099,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,8685605.671496537,0.0
