我好比波浪中失舵的舟船,0,我好（哇）比波浪中失舵的舟船（哪）。
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,5983209.964630985,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5988762.985061464,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5996516.307915856,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,6045687.078561835,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6054611.176648021,0.09090909090909091
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6054763.30602055,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,6078722.35269461,0.18181818181818182
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6101326.887424084,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6102434.176255003,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6119612.853811943,0.09090909090909091
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6121183.627723131,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6128649.402867255,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6148521.9937447235,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,6160332.014808301,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6162673.910425488,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6163893.4498951575,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6170045.11796882,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6186386.5710817035,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6189295.429650806,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,6190053.233737009,0.18181818181818182
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6192814.150670142,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6204630.706162848,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,6210466.05970458,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6212030.559230674,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6226178.184132815,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,6230148.038146728,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6247739.789451278,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,6262756.435368795,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,6267186.451065024,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6276861.161071452,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6281598.252764647,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6284616.069877559,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6286631.995191458,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6288607.137335937,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6290476.157761366,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6290631.112814766,0.0
