舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7141271.229080808,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7149840.5609102985,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7157145.923224086,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7169926.810775308,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,7186306.631104551,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7194667.906240409,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,7197802.550217251,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7206260.555472642,0.125
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7218594.711116561,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7222142.21047238,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7269709.702177843,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7275785.126004602,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7282005.152906103,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7283420.800216858,0.125
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7294632.918948456,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7294719.381855353,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7306889.828028991,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7310962.942968902,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,7317026.074169526,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7319012.557395984,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7329520.7608723035,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,7330137.03305936,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,7341222.056253946,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,7351921.619948457,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7351921.619948457,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,7398613.864440236,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7418515.765088946,0.125
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,7420435.856241657,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7431945.138971303,0.125
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,7440428.355048137,0.0
