眼见得红日坠落在西山后,1,眼见得红日坠落在西山后，
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6888199.76440039,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6909823.771726187,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6943137.395268005,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7144001.979312259,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7163675.032461687,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7192868.979425416,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7201880.542490615,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7222830.102196108,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7238454.9992436115,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,7243452.537533305,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7259370.391124259,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7293336.987599765,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7309360.366951886,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,7333912.4184915265,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7374864.135484802,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,7408186.260299661,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7415597.475054625,0.09090909090909091
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7424582.543797764,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,7435684.861951568,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,7472551.805378251,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7489133.381191406,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,7491556.416222218,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7492257.344817447,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,7530772.320928071,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7544166.049220039,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,7550256.793661533,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7570769.385984954,0.09090909090909091
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7595549.62436508,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7626049.245724962,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7633268.852665514,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,7637384.779808222,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7647721.788296895,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,7650330.321811238,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,7669538.58746698,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7694063.1383947125,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7700561.803868434,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7705184.635990604,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,7724486.7830542885,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7766697.529108131,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7770658.41163969,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7793632.990676098,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,7837178.617958225,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7839113.986013916,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7856211.98030734,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7891426.446176239,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,7910456.618760237,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7923317.126467788,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7989282.66116826,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,7994344.278250153,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8023750.75637719,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8051624.5209711315,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8051774.124777828,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8058140.005577002,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,8068751.706789883,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,8092852.893397929,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,8118428.369756314,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8150023.37020973,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8176589.660954448,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8268172.17552596,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8281400.26940516,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8302210.663432824,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8313829.089145448,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8314360.032160081,0.09090909090909091
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,8336237.652823408,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8352910.460424271,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8368780.629705006,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,8368914.199813025,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,8368914.199813025,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8373287.862911991,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8388944.811463593,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8390980.052281227,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8399221.811376395,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8402514.862815246,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8412522.783772683,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8420907.505318735,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8445912.434631335,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,8452883.534788618,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8455112.236548446,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8465885.49464809,0.0
