我也曾平复了塞北西东 ,0,我也曾平服了塞北西东。
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6303582.949332212,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6331717.828277991,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6333680.6484678285,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6342162.198956716,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6343557.410277033,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,6344817.911292659,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6347301.151363195,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6355088.123872894,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,6358542.932954088,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6367720.0622090995,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6379090.796635856,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6435838.4467532,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6441447.816414951,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,6447924.374059682,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,6463745.038474326,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6483433.151406485,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,6490079.532808103,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6492272.788236927,0.09090909090909091
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,6494448.963535693,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6512574.531882529,0.09090909090909091
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,6514069.011349149,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,6516090.086346206,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,6517701.136274638,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6521361.900181395,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6533143.264522522,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6541924.047713465,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,6555620.992333728,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6557117.991601209,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6569647.608329358,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6572397.496159261,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6576750.464995143,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6600738.266895983,0.0
