将身儿来至在大街口,0,将身儿来至在大街口，
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7309579.240847462,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7310028.60363283,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7316211.308641909,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7365824.471346008,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7403161.744886377,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7406488.738314576,0.6666666666666666
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,7421731.075080872,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7441377.074657945,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,7442137.875258188,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7457882.013486279,0.1111111111111111
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,7488504.881077552,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7497096.253039285,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7498272.290534161,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7499480.854032263,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7534218.671350644,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7535374.405721485,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7557107.346430754,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7578646.401835535,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7604307.537051247,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7619363.51296739,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,7622364.80870858,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7633065.414459669,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7635758.97687208,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7636860.051404246,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7639199.7835317785,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,7659953.536126742,0.2222222222222222
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,7683663.938356081,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,7688879.962601002,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7701083.691700311,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,7718650.250992052,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7750923.650423926,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,7751213.910828522,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,7774688.707869616,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7780372.288093245,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7835240.9592385525,0.2222222222222222
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7838438.80395462,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,7866409.820594722,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7871594.671257525,0.1111111111111111
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,7872453.915312756,0.1111111111111111
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,7876355.404867638,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7892576.761927823,0.1111111111111111
