俺伍员好一似丧家犬,0,俺伍员好一似丧家犬，
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7935543.25186161,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7952113.13112516,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7954944.594414692,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7976709.293047593,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7978740.2185619185,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7981492.6430770075,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7995288.417476068,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8001358.046977703,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8012325.448125256,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8012933.232663937,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,8016290.959908241,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,8020716.980475082,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,8062530.334711163,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8073158.0678437,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8115375.188370473,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8124387.534501399,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,8125407.094623929,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8200948.219891806,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8234750.760517469,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8271058.105157148,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8271316.926144045,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8277066.921699667,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,8320285.0106214,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,8337959.46664594,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,8342481.059983766,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8351550.851799044,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8352462.008449988,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8356536.179036519,0.0
