为国家哪何曾半日闲空,1,为国家哪何曾半日闲空，
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,6947017.124364734,0.1
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6957685.040719053,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,6957941.717398381,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6984261.920162329,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6996417.69022426,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7000386.453476614,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7002455.751507802,0.1
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,7002747.944756439,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,7005551.884544353,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,7007036.504886213,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,7007741.308504813,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7022854.803053511,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,7023387.506233326,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7037961.428651443,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7058146.334242502,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7083000.260572205,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7108723.35155019,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7109396.332013744,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7115932.374056861,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7120993.566532689,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,7125092.594070006,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7131145.910074665,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7136456.70514362,0.1
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7186644.061479633,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7195122.014466348,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,7211277.987071252,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7215020.184194636,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7234438.659571851,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7239665.900407973,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7270138.793899783,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,7273498.854101849,0.1
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,7290931.848506549,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,7297363.7007370675,0.0
