一连几天我的眉不展,0,一连几天我的眉不（哇）展，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8834689.185097056,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8834932.985718966,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8836686.418125367,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,8846779.839132981,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8849456.11939989,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,8852164.437218873,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8852557.086081814,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8854805.809708975,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,8859996.692860918,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8879799.020761307,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8921857.97854398,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,8925927.10456585,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8932105.468518533,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8933898.412541907,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,8987003.711978782,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8989260.975577686,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8994368.499542331,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9002771.344548631,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9019917.474166205,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9045639.543036934,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,9064509.938203339,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,9084055.113027822,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9099115.688005038,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,9099653.933454448,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,9123979.073561149,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,9126076.09644576,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9143015.882548755,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9165307.656950956,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,9165872.467808235,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,9178868.359570047,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,9200432.276537502,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9203134.332102813,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9210585.08250677,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9230428.33622731,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,9272272.01538583,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,9283275.687462393,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,9307686.598948393,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,9317883.45432324,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9356698.294080209,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,9357328.01614737,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9383689.712773087,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9390835.887563877,0.2222222222222222
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9401303.739802985,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,9440002.999033572,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,9453767.69229601,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9456853.123478182,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,9457017.605307164,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9474288.677117798,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9485287.938383749,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9489725.989110373,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,9518470.299625421,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,9552096.49534628,0.1111111111111111
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,9577095.314466737,0.2222222222222222
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9584833.555090303,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9596932.628941573,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9601627.598086553,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,9642048.023186225,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,9642048.023186225,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,9642534.265298752,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9661044.470662666,0.3333333333333333
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9669441.988963086,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9678517.37402611,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,9755401.890210558,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9761390.79257233,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,9777619.855829041,0.3333333333333333
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9780310.776795598,0.0
