尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4563283.164544024,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4570386.512423076,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,4584973.329507191,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4594666.062830888,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4601591.035432033,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4619705.259862973,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4654191.533889285,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4655340.397940501,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,4676357.96830184,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,4713252.980286346,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,4724487.410340495,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,4733998.361871804,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,4747420.770041855,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4749650.4795444375,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4754736.5930373585,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,4766602.451578334,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4767815.149162916,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4767815.149162916,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,4772948.445919709,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,4780123.39975618,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4787072.893223146,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4789167.798883604,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,4789798.511739933,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4795659.344594807,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4796889.713593123,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,4797602.210542207,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,4801272.8372491775,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4802178.962894294,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4802875.37874267,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4823632.266808105,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,4827461.446485141,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4831052.1915307455,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,4835381.164511983,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4855386.150659504,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4879517.4615140585,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4891821.244443024,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,4892813.016527117,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,4897606.884894865,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4901948.870958855,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,4918364.658743741,0.2
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4920009.865897888,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,4922358.760200817,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4930992.826951072,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,4935646.271236348,0.1
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,4942215.1744958935,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,4954783.196257028,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,4961778.957423731,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,4963476.3450209685,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4989391.262644046,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4990217.851360094,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4995667.434537188,0.0
