三更时想起了年迈爹尊,0,三更时梦（呃）见（呐）了年迈爹尊（呐）。
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,9578739.485922033,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9580534.225707054,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9663489.226531608,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9665893.237000788,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9673876.182068715,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,9679454.699374622,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9754805.544574175,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9760903.47821419,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9780126.241673842,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,9792498.231580729,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9852001.740623996,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9898599.63252133,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9898893.660353914,0.1
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9907687.334721005,0.1
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,9912725.545789916,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,9913944.146384235,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9919601.24340251,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,9934798.585260479,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9953277.534413952,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,9955034.942218415,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,10050213.442076521,0.1
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,10054611.61517917,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,10078453.573219286,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,10080732.254318547,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,10093637.372283887,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,10094300.793209828,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10113464.477555817,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,10116199.849890217,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,10118318.195357883,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,10123577.42681619,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10168250.443964444,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10179748.47619011,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,10181029.335195635,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,10191158.717325695,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10200258.235740671,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10229256.65644834,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,10238276.017081019,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10244337.266539415,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,10254953.387475835,0.1
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,10261879.375933029,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,10281966.279009411,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10311003.983133234,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,10313786.10444053,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,10315353.830079079,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10334284.889055455,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10393752.224316321,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10417013.188748421,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10455629.427055854,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,10456577.43269277,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10458368.467526851,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,10465656.055871863,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10472290.719141267,0.3
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10496050.772179352,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,10515869.411804916,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,10546030.068559527,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,10558980.418486211,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,10558980.418486211,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10568959.570887715,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,10580321.07009133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,10616112.251377054,0.2
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,10619768.310022533,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,10620011.930216955,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,10628636.548958682,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,10632234.904079294,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,10632868.366364347,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10651107.06251511,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,10666669.083688175,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,10668119.581626965,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10669495.805162793,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10672338.871724973,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10694202.741866136,0.1
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,10695871.667368239,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,10705607.396504639,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10712760.827695737,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,10712774.774553211,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,10714500.0563394,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,10718183.961850312,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10724021.037225014,0.1
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,10752022.695404101,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10755167.068824787,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,10783166.234795336,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,10789299.61315661,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,10789530.41241311,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,10796235.798914576,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,10801471.160852691,0.1
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,10823866.08034481,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10832607.899397548,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10849939.282505615,0.1
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10948359.794610146,0.2
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,10950131.72656191,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10950531.081918055,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10999651.232339708,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,11003529.157104388,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,11019636.853551611,0.2
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,11020214.080300687,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,11036780.144424088,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,11040650.260422809,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,11079313.92009762,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,11079313.92009762,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,11093006.523090467,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11096161.521832671,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,11101205.839001367,0.2
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,11117284.453579312,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,11140988.625194516,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,11168203.766261911,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11170374.624247165,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11175187.807867248,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,11178591.693617072,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,11192444.691647388,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,11219144.30425322,0.1
