儿行千里母担忧,0,儿行千里母担忧。
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5951226.712564937,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6023944.919256165,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,6025967.628177506,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,6044093.778784659,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,6048360.611913021,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6069749.640074576,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,6073656.953872415,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6074123.52466143,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,6106745.651484578,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6137228.6253510285,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6152542.525812573,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6156188.636873108,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,6168896.10074185,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6195640.415066222,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6225802.658656787,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6236934.133476324,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,6240126.315615986,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6260657.105937575,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,6346297.260604943,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6355049.7735393895,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,6398495.710003547,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6411953.629088829,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,6418220.337549561,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,6459922.178105707,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6470110.209887498,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,6489379.163403116,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6511262.905624272,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6519809.110065552,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,6534508.634887987,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6570711.14988067,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6575149.117426118,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6597390.0482903635,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6639637.835006361,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6654492.733254194,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,6659410.6349647315,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,6660682.174858626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6682260.225481417,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,6694705.150105354,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6695123.268976927,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6699999.3914186945,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,6710076.465694472,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6744416.687389789,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6767640.379605664,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6780844.072698025,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6803642.845285559,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6812973.936772635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6826576.3939377675,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6871127.424292987,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6887502.508278299,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,6904216.075776453,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,6916303.067365255,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6919709.163344753,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6927092.92830497,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6927175.176247733,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6931210.235234341,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6931210.235234341,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,6942872.452432202,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6964449.858565006,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,6965494.31573954,0.0
