因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9067791.223963704,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9105308.927480962,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9112021.66971905,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,9112778.186224975,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9119025.813073615,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9130942.712136036,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9132752.20323852,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,9178209.553594286,0.0625
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,9194598.593810631,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9206626.235688636,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9211101.416464249,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9231023.539728694,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,9247023.212216234,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,9247023.212216234,0.0625
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9258766.58367984,0.0625
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,9261863.847644284,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,9267295.356358517,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9277073.187481204,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9290754.571850432,0.0
