先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,7682366.640959098,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,7687440.027921477,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,7695750.3184478115,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7696392.683416661,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7706106.164621344,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,7754730.566656953,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7756880.41292745,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,7767448.834734368,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,7802743.427576575,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,7808883.405570561,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7811969.485726955,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,7817654.056550921,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7836956.991694625,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7851047.718877271,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7857001.518381655,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7892469.481914932,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7921239.719036992,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7926910.926512614,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,7931858.783947397,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,7932421.663247058,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7938352.461793301,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7947814.894626496,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,7973868.739227468,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7987336.468853422,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7992285.866344386,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8008818.682740264,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,8011993.47277323,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,8013589.828766837,0.1
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,8044342.543728788,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,8050343.122215526,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8052207.25601486,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8056213.134466742,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,8096501.605513083,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8107271.5504004285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8126631.734159841,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,8135198.822614736,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,8154606.741098801,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,8155924.621744834,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,8167384.181416409,0.1
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,8179014.692919587,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,8181887.819801121,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8187402.3357444955,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,8230894.776809676,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8232964.541298335,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,8233572.891018711,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,8234862.103340004,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8235547.937902454,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8245104.138223211,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,8246062.87778245,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,8278339.055433218,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8298661.154454354,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,8303665.693376286,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,8303665.693376286,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,8308684.828706591,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8340701.072060153,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,8349293.366440503,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8367150.940311889,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8391493.884321915,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,8393922.677196797,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8416151.956977185,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,8419523.822609752,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,8422617.483663986,0.2
