我好比哀哀长空雁,0,我好（呃）比哀哀长空雁，
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7792877.972817239,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7793457.8872410115,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7802769.67916591,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,7809877.817731413,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7820044.851208676,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7821302.867284994,0.125
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7832919.954677769,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7833206.91136338,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7854593.546036471,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,7864809.832090119,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7880603.804806521,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7913073.375779466,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7917338.840001275,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7936094.080926189,0.125
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,7953753.295553707,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7975535.540650084,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,7980273.1034687925,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7989464.198241869,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7989749.0236231685,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,8002384.484725652,0.125
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,8003566.742835812,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,8005975.064201998,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8015115.059483366,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8017376.082987734,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8031783.750352598,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8034489.954293706,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8045358.208714634,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,8047680.441949703,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8060882.6178001445,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,8063632.674760134,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,8070192.203398451,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,8074421.978409702,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8078205.521047173,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8089236.18938349,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8098427.882031817,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8099093.386462652,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8100085.101674951,0.125
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8100946.143333572,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8110770.107481479,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8112133.467764358,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8118463.263168768,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8128088.569712424,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,8134918.994271157,0.125
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,8136570.651425761,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,8139399.620763599,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8143499.734739872,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8169238.901192636,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8179823.543836242,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8179823.543836242,0.125
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8196622.150369209,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8230576.787385294,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8242628.308922768,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8298639.7115360135,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,8303727.563465456,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8308323.443221093,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8329840.952714772,0.25
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,8344267.624313893,0.125
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8352965.356300365,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8356848.369296594,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8372144.657921663,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,8372866.760390452,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,8374024.924770507,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8375991.657261015,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8375991.657261015,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8383022.639099602,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8396834.451003375,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8401652.637732662,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8413518.25006243,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8425688.424361473,0.25
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8439061.29523673,0.125
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,8445534.22917442,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,8447482.468702259,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,8447482.468702259,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,8451874.723782696,0.125
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,8457137.389218107,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8469420.921638526,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8472312.258959705,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8492544.042305335,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8501233.628925743,0.125
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,8506956.390913254,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,8509386.570664167,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,8509549.069557378,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8514900.264773443,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,8536433.059269672,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,8548977.181097614,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,8554865.897469893,0.125
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8558570.177535586,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8562891.71101663,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8580629.663231071,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8592372.147459706,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8593213.106886668,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8599282.575519985,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8614242.242314544,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8618551.230911175,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8623690.473736241,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,8629652.101864096,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8635333.85968077,0.25
