杨林与我来争斗,0,杨林与我来争斗，
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,11879734.93510968,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,11889809.221052816,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,11926591.877525115,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,11933579.318881596,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,11947646.502501437,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11960174.011772115,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,11980381.151693156,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,12057418.75559102,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12059474.29512755,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,12084692.48537224,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,12178422.448776878,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,12199610.249442885,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12199809.44128471,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,12264890.865020895,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12277254.413348915,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,12424545.404837234,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,12430724.672940856,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,12434596.337204456,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,12508289.935967239,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,12550108.008629203,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,12566300.555066738,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,12616222.250935083,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12696353.416977152,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12705618.34040968,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,12707212.56422966,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,12707212.56422966,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,12746085.879313082,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,12862186.580340171,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12905949.164675748,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12908365.619328426,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,12933115.384808023,0.14285714285714285
