身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7652435.322074051,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,7685553.740247735,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7691359.687893955,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,7769351.509867636,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,7770761.829798791,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7798637.053179401,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,7833035.474558195,0.2
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,7862284.16931394,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7917593.021976141,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7922640.567001141,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7968442.303433626,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,8019559.952319293,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8041067.099823599,0.2
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,8045088.402068038,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8098716.510944979,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8100638.025905996,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,8106876.686160397,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8142975.002236912,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8151646.519786269,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8162161.690837806,0.2
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,8173913.355358191,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,8185426.622264514,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8206193.924646186,0.1
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8260319.562625122,0.4
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8271554.988058628,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,8272358.196527045,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8276469.623223041,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8306710.930856822,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8314236.575780699,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,8320438.172832951,0.2
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8354636.842538329,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8384607.372636174,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8387925.044459482,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8404760.842910636,0.1
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,8430929.50050369,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8511963.946403405,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,8525185.294376098,0.3
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,8527791.755663114,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,8567659.554192804,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8588906.243046965,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,8610326.072335856,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8624098.509357983,0.1
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,8655808.558433352,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8665626.1317383,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,8675455.58617323,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,8678805.034663543,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,8682631.067086216,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,8685400.559471637,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,8692727.060605736,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8708665.278766774,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8710292.872396553,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8710292.872396553,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,8788891.952276083,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,8800523.067455797,0.0
