实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,6530066.379406764,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6538221.353823356,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,6582364.740880116,0.07692307692307693
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6590044.138806723,0.07692307692307693
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6624584.200676478,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6631005.469682116,0.07692307692307693
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,6658040.05668693,0.07692307692307693
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6678756.744510305,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6697174.104174854,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6731174.568536688,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,6733312.32920276,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,6739220.702368997,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6742497.116534631,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6743868.865829941,0.07692307692307693
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6745406.588292432,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,6766439.680538994,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,6785315.651947545,0.07692307692307693
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6786308.433009915,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6825606.865704694,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6826929.9396037655,0.07692307692307693
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,6872132.64051629,0.07692307692307693
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6900406.401295081,0.0
