思来想去我的肝肠断,0,思来想去我的肝肠断，
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4647129.652607591,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4652671.896084564,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4661375.050473204,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4661959.401287518,0.2222222222222222
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4665847.561486534,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,4666351.678169482,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4676444.777412367,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,4684671.9030811265,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4686877.111576055,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4738134.849089345,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,4742414.575887982,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,4759236.879647822,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,4779976.01680587,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4818623.965073848,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4861588.323731574,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,4875733.7106203195,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,4878494.579293444,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4887235.2827641405,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,4892976.9597434215,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4900432.56409743,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,4906540.730357999,0.2222222222222222
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,4917126.485969673,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4922952.105651757,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4935244.954052602,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4946681.198822629,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4949989.672064506,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4950901.190177827,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4951863.294942246,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4963277.848080085,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4964835.432067394,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4968000.617320193,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,4977650.18016941,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,4984998.530901362,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4988407.393965078,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4993420.663974816,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4997564.703185961,0.1111111111111111
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5008889.323108108,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5011404.809012513,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5012391.531899664,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5013087.084478355,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5014600.830953717,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5016527.151888036,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5025487.8930169605,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5026581.870880637,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5041619.488332245,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5044120.902105876,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5053515.279619359,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5077097.67261022,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,5080208.017900155,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5089303.711575161,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5089303.711575161,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,5100955.654325694,0.2222222222222222
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,5114248.712372876,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5124605.7762771435,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5135377.381635392,0.1111111111111111
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5136186.402595949,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,5155911.17471933,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5155917.588407722,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,5162203.269353145,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5178012.571227624,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5181902.590763748,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5192637.705776114,0.2222222222222222
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5192809.056438219,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5205144.159106681,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5205489.393068248,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5210743.502138589,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,5213885.159334277,0.2222222222222222
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,5217693.853327995,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5219271.003013689,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5227490.38261854,0.1111111111111111
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5231982.247272948,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5251668.901510221,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5260463.182014841,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5269245.6698430125,0.2222222222222222
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5276325.884786803,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5299548.661375953,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,5318569.087348507,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5323590.047476434,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5326255.419752777,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5327749.766241099,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5347057.167704213,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,5353371.784383356,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5365376.953158907,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5372000.899250844,0.1111111111111111
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,5373802.421645631,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5380911.971060208,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,5383756.285272005,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5396014.346717061,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5402631.498175165,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5404307.96210868,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,5406542.476473671,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5415346.195585664,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5425236.870789882,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5433411.153527053,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5437800.455118251,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5438577.706263846,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5441793.399936673,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,5445351.2273530755,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5468914.335878673,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5473729.795410834,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5485599.710780826,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5493931.308923049,0.2222222222222222
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5493931.308923049,0.2222222222222222
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5498760.930983308,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5500439.899999406,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5510636.318926238,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,5513478.839491426,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5517967.230862992,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5532496.329241429,0.3333333333333333
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5534797.965572579,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5539446.064355862,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5541831.037981393,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5545431.341872472,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5550913.328055067,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5559988.567965861,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5560118.014981851,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5594742.3158522025,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5595731.897630968,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5599437.167868143,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5599437.167868143,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5599882.007259027,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5609481.963907038,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5611737.267703561,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5614293.617982014,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5614293.617982014,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5625298.661475582,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5626904.599020994,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5641849.019745479,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5642383.674074882,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5647411.572335459,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5658244.320982018,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,5667058.382069419,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5672695.538093457,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5697350.122926243,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5701519.265830575,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5711800.354243714,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5720306.505845521,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5721968.4852387,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5723938.872754473,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5734710.148085676,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,5737917.443002164,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5745300.304243791,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5746039.362045455,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,5755702.022040166,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,5762727.475354804,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5764650.354125106,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5768532.778212189,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,5786508.137048016,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5808788.450011354,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,5810058.261867664,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,5810058.261867664,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5815123.985715418,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5821394.576055825,0.4444444444444444
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5827016.459647605,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5834211.626266212,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5844503.001131884,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,5846181.105886409,0.2222222222222222
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5864838.613505339,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5867589.545605027,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5869577.226260518,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,5874649.115250169,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5889554.641385425,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5914243.342354769,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5926018.823017782,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5939745.276401809,0.1111111111111111
