为此事终日里忧成疾病,0,为此事终（啊）日里忧成疾病，
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7838207.460266713,0.1
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,7853909.200343479,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,7855547.4110787045,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7871776.463728514,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7872867.166674519,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7884667.925192054,0.1
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,7892459.8045287505,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7903858.013248964,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7915940.805237502,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7931031.142629574,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7958599.748013266,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7961668.508283298,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7968715.960431267,0.1
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8021056.716496564,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8027334.153549247,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,8057890.481997834,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,8062846.246058965,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8073604.854004519,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,8076990.850422731,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8097216.000786212,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8099831.214769466,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8113870.867821963,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8115644.43457034,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8131291.448874951,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8134272.823957912,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8177855.310616539,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,8202512.5336709665,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,8214441.1631387845,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,8228007.480018594,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8238931.799381899,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,8264482.0323879095,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8269683.375359414,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8270133.424506658,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,8271766.3371949345,0.1
