周文王访姜尚周室大振,0,周文王访姜尚周室大振，
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,5695146.892147485,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,5702644.0171368485,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5707136.643138761,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5711576.330056065,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,5721469.460254281,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,5750750.110378461,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5768949.408851209,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5770503.934764395,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5793409.84612531,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5826821.057185778,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5830480.538431975,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5851026.978126832,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5863432.806591224,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5876339.33571256,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5877301.738071634,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,5877912.0148853,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,5880768.294539149,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,5887340.587917819,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5893329.0890960265,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5911680.245702404,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5919376.5278104255,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5938730.582112502,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,5961127.917602107,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,5964338.745115157,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,5977069.109543481,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,5983917.60156446,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5995417.2979336735,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5999345.305264464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5999345.305264464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6017487.676723786,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6030090.203891788,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6031334.28562046,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6034940.08166934,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,6047365.508607331,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6048868.5183403,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6048868.5183403,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6053828.278250204,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6055716.955995398,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6072823.780475984,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6095728.726719437,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,6123187.831827846,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6132854.353999488,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6146939.956379842,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6147458.006752839,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6152000.756638947,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6157186.82853418,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6161321.115119745,0.1
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6162549.105742136,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,6170762.972159058,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6171854.257422875,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,6182489.279191154,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6189339.199168048,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6206951.439383346,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,6226554.160421575,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,6232301.293098683,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,6239525.709571711,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6249404.108401167,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6249708.270755602,0.2
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,6257370.220195755,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6274574.859430585,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6290803.668737088,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,6325022.777009588,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,6329855.366646978,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6335157.711505932,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6344409.101846684,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,6356803.163930504,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6368679.849197048,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6392211.199100945,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6394219.801266831,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6396887.866591103,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,6444137.60557913,0.1
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,6467232.569064974,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,6476627.588214906,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6483416.5601721415,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6485267.463133034,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6487505.163828729,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6496376.22576955,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6504569.262052617,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6512861.607092939,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6521761.973981696,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,6528064.474109135,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6552883.294154134,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6596362.1572127165,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6597996.101565693,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6600945.373041775,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,6605720.22672988,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,6638176.215897331,0.1
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6642589.710071096,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6646585.737898686,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6649544.593532431,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,6652876.344811458,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6658066.336803782,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6662618.2828022195,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6665285.391189426,0.1
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6665862.788854279,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6673117.950415656,0.0
