因此上发配到登州,0,因此上发配到登州。
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4805316.314389275,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4809647.051921064,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4815428.392915543,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,4819873.0695503205,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,4820444.606572775,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4852683.275321973,0.125
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,4857187.4158627,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4862407.376516631,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,4880675.035894473,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,4888396.070378341,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,4911860.1347916415,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,4915806.043162244,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,4934697.243137119,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,4974335.765855706,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4977019.788797372,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4980181.3576083295,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,4985828.374695758,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,4985828.374695758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4998596.060316837,0.125
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5014038.435408604,0.125
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,5062043.918164975,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,5068890.333273471,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5082569.116730522,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,5093648.012292243,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,5103845.448420102,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,5106978.16097112,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5109511.660844489,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,5141488.645486741,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,5143026.8935439605,0.125
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,5143306.246135213,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5144336.929117426,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5149309.729012098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5152391.396564543,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5154576.866675378,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5154576.866675378,0.0
