儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6895893.347654943,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6895893.347654943,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6901210.3154177945,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6926798.003003171,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,6927866.946719513,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6956910.1540535055,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6978035.693347253,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6987428.37164591,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6992938.910647732,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7018058.215217413,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7019336.48806663,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7019816.711579091,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7026913.77827869,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7040677.093498558,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,7042119.083219371,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7045293.403198553,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,7047496.528747623,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,7047496.528747623,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7048808.1356526585,0.0
