眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,6561059.962851965,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6601351.5765487235,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6664812.25052132,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6666707.990091012,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,6697992.143013168,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6734485.199702513,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6741527.832639063,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6766682.54739896,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6775057.875169248,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6805287.253583786,0.18181818181818182
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6834162.325987386,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6835558.931789247,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6886780.0152909085,0.09090909090909091
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6890527.405945999,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6946163.403726813,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6950488.334675452,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,6976890.0339714335,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,6997104.194137215,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7002548.79638237,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7029256.518500148,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7044342.713527808,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7110619.775662056,0.09090909090909091
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,7126654.951354943,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7178044.470944203,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,7187885.527533109,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7212011.571161352,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7236197.687824409,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7316432.427996731,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,7336364.884169073,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,7367449.59541367,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,7415257.349969787,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7424852.364201984,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7525807.940083152,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7540781.716687368,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7542544.321574413,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,7603351.882533494,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7603351.882533494,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,7633878.108927307,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7650414.263473518,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7661785.255788766,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7672821.270550317,0.09090909090909091
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7673936.575286658,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7693338.252286671,0.0
