娘想儿来泪双流,3,娘想儿来泪双流。
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4908455.2229357725,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4908809.902278033,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4913904.652443332,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,4918703.944700118,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4936819.390320971,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4941153.794235247,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,4953893.32014752,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5005881.80268231,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5007293.529690514,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5011148.297308904,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5011227.164325626,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,5032989.610103656,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,5045476.911199471,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5047743.740831835,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5060663.590965761,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5087841.551412619,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5097481.002104805,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,5106307.943899884,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5132204.616419733,0.2857142857142857
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,5134196.535195447,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5135737.241545154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5151825.189684328,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5153441.554878392,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5157025.63066317,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5159449.239319559,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5167883.03653108,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5183262.014173118,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5184726.107753753,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5195886.2076553535,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,5214945.834509184,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5217088.58201993,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5239247.2281967625,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,5251364.362624615,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5261155.498981999,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5285952.611981707,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5292717.2746932125,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5307773.9632091075,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5376748.415973314,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5379997.419369881,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5389422.991929839,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5399970.692265674,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5403003.222892633,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5417249.356473376,0.2857142857142857
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5429834.391119437,0.0
