芳心寂寞有谁怜,0,芳心寂寞有谁怜，
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,7020671.4299829956,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7029929.1047431091,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7033265.2158136778,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7041055.7485993896,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7080860.6648382908,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7086246.2655210728,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7094676.3105409266,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7107612.9382200353,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7135788.5322558274,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7144276.1088506756,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7159650.7869235622,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7167634.8270384809,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7185082.3246624237,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7191764.2558307601,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7194729.6513895271,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,7214075.2509121131,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7220393.5685949437,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7229336.2079356415,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7229720.4784542779,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7231443.2306090826,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7231443.2306090826,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7242412.756657212,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7242412.756657212,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7245376.5047288267,0.0
