奴似嫦娥离月宫,295,奴似嫦娥离月宫。
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6944034.5321744774,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6976951.1025233958,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6997216.647394415,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6998902.5052296221,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7005248.0855517201,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7021804.6890506987,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7114461.3323173597,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7120244.7097931867,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7127605.2460251758,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7131790.1541004498,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7175073.5503569003,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7198059.5635020714,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7232123.6692089392,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7245082.3734404398,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7279279.6049276935,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7292022.71578239,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7302679.2241723472,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7314078.7034276165,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,7316228.677076363,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7336725.9818733986,0.2857142857142857
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7386069.0583743174,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7389574.4028439485,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7407388.5165658565,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7438777.4032467483,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7462573.2870275294,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7515906.1062529683,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7523504.4977141116,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7539349.8086506166,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7601241.8244159967,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7631453.6130738026,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7632623.3002106519,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7637647.4758407474,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7639905.8404794913,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7654767.9604026768,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7717689.0041797757,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7739735.4202945177,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7753649.7214703327,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7764625.8233668888,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7766940.6229104204,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7790460.8376234639,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7825386.0610012757,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7835741.8459979761,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7838327.0585338492,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7846033.6694243159,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7890094.5169828348,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,7936643.8318237504,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7953536.9341770839,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7954855.4049716238,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8019578.2942366181,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8020068.6836085478,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8029955.6601221822,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,8056264.9116645148,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8057406.0680178152,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8071474.4078492997,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8079030.2367730951,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8095873.80353144,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8096362.7938837167,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8105860.2764562853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8143965.2048979178,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8156146.6209040182,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8172222.4574970864,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8175848.3621750409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,8183495.4462042851,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8184338.6495503504,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8185314.9952516844,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8186891.1016130038,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8195700.2181069087,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8214724.8610179499,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8221181.5786043247,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8231702.7125811409,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8244063.5386028811,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8250580.4253684208,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8263806.3196648061,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,8267558.0613419469,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8272144.9054127317,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8340308.5780179929,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8345269.8538582642,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8355331.5206858534,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8365878.0959177511,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8406906.2193258107,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,8431453.4391702358,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8434155.4510606509,0.14285714285714285
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,8457218.3019357752,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8457556.5899198446,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8459111.4005458411,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8474849.2344491333,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8504132.2904823162,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8520829.583833091,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8535195.9924001731,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8545458.1311311591,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8555908.3359248117,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8594115.5331520513,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8599759.5297366437,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8679152.266236525,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8729503.9955712594,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8739629.001885239,0.8571428571428571
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8800386.9832319915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8816067.3968495764,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8824730.2895558029,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8832582.1970015541,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8874233.1770491526,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8889740.10487522,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8902735.5137117524,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8903352.4073211681,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8935221.5104634129,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9016705.7901893873,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,9018810.861354813,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9037404.1931496691,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9054218.7897846978,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9068554.7764341533,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,9084441.107772423,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9092504.1911165975,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9111459.058415316,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9122378.3727270141,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,9144573.3456991836,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,9175587.8696896918,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9205888.0827424582,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,9224543.588730488,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9234691.0258248355,0.0
