何人来把书信寄,2,何人来把书信寄？
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8405065.1401312202,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8421787.6872186679,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8453797.9771330077,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8496320.8076413982,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8516569.2189711761,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8566954.8090962097,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8584134.5187200997,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8638360.7707472015,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8685717.9917391501,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8712378.7451283019,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8721639.7498470899,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8786409.0359894894,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8787419.4972240776,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8805728.9998569284,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8848796.349031277,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,8865035.7797003221,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8885363.3955882136,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8897342.3674776945,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8923860.8157877568,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8932683.6033857726,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8940006.9418357294,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8978118.5390120018,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8979653.9950533342,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8980945.3918142095,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8984091.2960124668,0.2857142857142857
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8990906.3327055667,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8998433.9797638785,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9010434.2402740456,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9040620.6733878013,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9040793.1337926649,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9051818.4506986812,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,9062727.5653453972,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9076210.9016142525,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9079740.9559049457,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9084665.7217336167,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9098429.0933479927,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9102984.5599766504,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9109503.2911374494,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9145386.8715834487,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9150757.4076703321,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9159016.5808392987,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9190481.9983465523,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9201803.6655428559,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9252967.9146793354,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9268041.3526500929,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9281415.2046605684,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9281741.6255718563,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9294990.894724831,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9305831.0828776639,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9315105.9668648895,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,9353131.0880437605,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9393548.3021342363,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9401395.5672668461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9430269.9739456028,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9449640.5367259737,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9457153.7176545747,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9460351.130420899,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9471277.0933693852,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9503203.8858107831,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9511654.7345844768,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9572319.2699308172,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9591065.5265140235,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9618261.4604112916,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9636683.8929523453,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9645114.1891656872,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9648167.4214840811,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9674462.0728533715,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9680730.7020600419,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9703335.4599197637,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9718249.174577862,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9749312.521368105,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9762875.4816851765,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,9779825.8624489829,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9782090.5909340233,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9804423.0434693042,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9819069.9551458862,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9827307.6391962003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9888517.9558732994,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9917429.9185784888,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9928725.327754518,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9958145.2620496843,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9987306.0557718165,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,10007377.534336597,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10008899.723716829,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,10015361.751646228,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,10034381.580981558,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10052276.772488242,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,10064164.652299017,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10083894.300181091,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10127577.664198902,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10140034.051356765,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10172567.980393212,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10189345.934293052,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10191595.823557829,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10198368.974052437,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10258068.801521832,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10268630.863544971,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,10293602.737328466,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10302737.829696268,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10319340.935729869,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10328710.449158806,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10338530.590181073,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10338975.034374749,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10366776.11563414,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10389069.107091645,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10398548.005766811,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10403161.772041185,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10442508.843827995,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10449118.812576789,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,10450882.203458551,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,10459601.071173431,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10591591.904807974,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10666011.4926815,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10671691.695072742,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10700764.705473237,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10707584.23109843,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10709174.285065288,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10727990.521348136,0.2857142857142857
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10732724.406452697,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10760283.601448951,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,10779050.945149243,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,10808358.231486335,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,10814978.017650617,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10854453.915398579,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10872417.662431676,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10921568.020952381,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10970350.175996993,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10971724.202342421,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10980977.572225973,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,11011605.727368437,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11014083.518276026,0.2857142857142857
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,11035199.631522497,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,11052250.689102015,0.5714285714285714
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,11059492.024620648,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,11079570.32194471,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11088080.686067471,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11111232.789564036,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,11122122.286896702,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,11132419.60368691,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11167738.128445925,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11171695.176804058,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,11173467.240379725,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,11175522.925960157,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11222801.431262517,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11227963.193302169,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,11229922.582657348,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,11284509.569271408,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,11305752.430612253,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,11319125.41733815,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,11321247.858770851,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11345331.328808611,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,11443050.573999958,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,11461703.179218667,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11484695.663815202,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11492007.408331126,0.2857142857142857
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,11493204.956491316,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11552963.311216241,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11558698.486439088,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11559704.492464732,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11595099.671519337,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,11627065.112778904,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,11631988.940603623,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11633404.782101976,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11705508.562562389,0.14285714285714285
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,11715755.413880112,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,11777365.38572797,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,11801168.952612203,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,11801168.952612203,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11863018.360799799,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11888570.624006782,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11901288.613888135,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,11933441.246479947,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,11975106.443070672,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11991767.001574816,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12004829.332629241,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,12021011.791957747,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12047149.416845357,0.0
