在潼台被贼擒性命好险,0,在潼台被贼擒性命好险，
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,3077343444.9097681,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,3181343116.6899004,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,3206238312.0456452,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,3229858863.9856715,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,3260037500.9672728,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,3271784505.0099444,0.1
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,3285332226.5208769,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,3295199453.4952097,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,3297973513.3443642,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3320374738.3768568,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,3363657809.6147518,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,3370869511.7547708,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3375634827.5932384,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,3396184280.1055708,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,3460105224.6061945,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,3460105224.6061945,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,3533934951.2670617,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,3535179509.8347292,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,3570903400.302125,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,3574458038.4787264,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,3620185106.8756828,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,3664145475.5627284,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,3666839876.5346966,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,3673919367.8044066,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,3677661577.2973146,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,3682371412.9505157,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,3727296818.4652419,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,3741013245.3479056,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,3781247130.3978782,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,3791775427.7235866,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,3801815926.9713216,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,3815115137.3472438,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,3830058948.3351288,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,3836706072.8377028,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3853400308.9105306,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,3874010583.327847,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,3878430163.4161391,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,3881544172.2593174,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,3885404774.4857283,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,3892412184.6062384,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,3898120558.9722056,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,3908879138.9269233,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,3923549355.555759,0.1
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3940687361.4946985,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,3957324569.3025756,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,3964533545.9526443,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,4015483963.2290287,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4016064784.7181749,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,4024283328.8678455,0.2
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4051313926.2155719,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4058057816.7013664,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4067550215.4067483,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,4090179240.3357038,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4119052120.4463387,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,4144547157.9217963,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,4150055187.8633294,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,4163163788.0450072,0.1
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4173203599.8590298,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4179711900.5578475,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,4188493676.2054543,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,4188493676.2054543,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4204758539.915072,0.1
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,4211046997.8248487,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4220112570.2444019,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,4240026404.9458804,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,4245053591.2685127,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,4254709175.4263296,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4285357242.5388403,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,4301314550.922986,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,4308560547.1888514,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,4309641601.9811077,0.3
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,4331085111.7539186,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4333794163.7627783,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4339281587.7484179,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,4353904275.1104202,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4356569761.6452379,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,4392852666.8852396,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,4402472492.6460485,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,4412119111.4166021,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,4418405650.5500841,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,4425378662.7304964,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,4434468065.5614386,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,4434804367.5576439,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4483575566.4314241,0.1
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,4517692302.2986135,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,4521931753.9544287,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4524867912.2159624,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,4579772962.8835535,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,4602155210.085371,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4620952574.6235876,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,4621567460.8270311,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,4629592550.6244011,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,4646946693.8843508,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,4685308857.4970484,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,4693827238.1328363,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,4721180009.6650953,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4742199548.9215975,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,4819112600.0033417,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,4822029122.1306391,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,4824790808.5534725,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,4878916013.0963898,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,4881683430.0361185,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4888863370.1119432,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,4920526761.9894619,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4929646098.5198812,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,4959195012.7021341,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4967166658.7534952,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,4982662654.1912317,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5020757591.9814405,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,5021664616.4596987,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,5040547087.0111303,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,5052888019.9015875,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5058936973.4507818,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,5088284323.4143095,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,5092082502.5515976,0.0
lsxp-WoBenShi-KongChengJi-2.xml_7,我诸葛怎比得前辈（呃）的先（呃）生。,5117142447.2340889,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,5170553036.4347486,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5195130263.598299,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,5205000694.5860929,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,5208332978.6608028,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,5217430895.5348396,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5258145156.3516159,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,5258308794.866601,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,5285577379.2789545,0.1
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,5300327310.2388248,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5305484008.4826918,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,5317237538.1574116,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,5332249355.755127,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,5365928803.0773792,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,5366698731.2878742,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5367003937.4603758,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,5389989883.4646072,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,5417451279.4065475,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5422484592.2812796,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5453551795.7246981,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,5463589886.9881344,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,5467306474.7032642,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,5484580301.4112558,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5490636016.446558,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,5505745801.9636574,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,5524342605.6927843,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,5543540835.8592911,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,5549113041.5154228,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5554589463.368968,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,5565960034.8894119,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,5582216423.7823105,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5590506438.4439678,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,5603655391.4052114,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,5641827822.0149069,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5698493350.3441906,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,5711252094.9881849,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,5728558236.1609821,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5740471280.7307949,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5775414257.1551571,0.0
lsxp-WoBenShi-KongChengJi-1.xml_7,俺诸（喏）葛怎比得前辈呀的先哪生。,5815418625.9034138,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,5877443256.5451126,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,5887532180.4485779,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5888232320.1749125,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,5907434979.0603704,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,5913077147.4432793,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,5918843152.9884129,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5920786039.4567604,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5926970729.6969976,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5944854403.6437569,0.2
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,6004465990.9603491,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6005536192.4719038,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,6010525709.6199627,0.1
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,6030435077.6893959,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,6046356692.9558983,0.2
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6050991001.0200863,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,6065786278.3646517,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,6115052709.7695074,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,6148781773.7152729,0.1
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,6154773954.8365078,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6157555081.8045921,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6157555081.8045921,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6171991489.8501444,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6195855046.0443087,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,6216437789.6216097,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,6220134861.282711,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,6220134861.282711,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6230164549.6540852,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,6238526348.7582932,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,6272349141.3586922,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6275922908.2825155,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,6281531838.1583834,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,6308557426.7191496,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,6308675075.1059628,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6309931450.2294798,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,6312399034.5080023,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,6317748549.1774387,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6321449370.6808367,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6331690380.1492519,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,6347095540.1957378,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6369463367.5528173,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6380358349.2498608,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,6386209181.7557316,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6397014271.4498634,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,6423509249.9929037,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,6442142787.9858818,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,6478975255.8965025,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6533177055.3195353,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,6534519598.9436483,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,6550558412.3168507,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6564693117.9517574,0.1
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6575431994.6058207,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,6606701921.0614147,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6612262691.0953245,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,6614488531.5860853,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,6628383346.6887474,0.1
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6644400005.0618849,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,6654668289.4532251,0.2
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,6667618156.3678179,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6675992343.857481,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,6682575337.9959192,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6735140128.1904097,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,6742247790.1273365,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,6742951115.1913338,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,6759418121.3593826,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,6759418121.3593826,0.1
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6769284929.3019371,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,6771474013.8182049,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,6774053703.3420677,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6788130037.2138424,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,6818845103.5780668,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,6822900281.0065641,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6864558059.6689425,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6900873780.4241905,0.2
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,6943769848.6129875,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6970391025.6908169,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6984333559.0886869,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,6985964404.074296,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6994874731.869339,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6998509206.3707008,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,7003445191.6090012,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,7015287346.5233278,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7049253899.5445414,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,7066015249.3314295,0.1
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7072954417.263217,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,7149368231.0412626,0.1
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,7150036992.4138288,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,7163840662.4022484,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,7182028642.3522787,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,7182406659.76828,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,7205248371.0173664,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,7210701817.9508591,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,7297219536.2851906,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7307518690.6497049,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7321297780.2493963,0.2
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7352666516.113699,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,7360157860.3314571,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,7363302269.9802389,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,7367729625.0643187,0.1
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,7403955261.5419941,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7410647701.6506424,0.0
