那冰轮离海岛,4,那冰轮离海岛，
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6144424.237161546,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6148083.8159948159,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6161726.2472091215,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6177907.8822063282,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6183439.0096940296,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6186411.3892776268,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6205834.8210736513,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6221693.1454817848,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6228252.3007458895,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,6256270.544145802,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6267777.2705525858,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6268968.2296373351,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6313347.6814401308,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6316352.2781122038,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6377859.3304834291,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6381464.5364456261,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6398686.2519703396,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6400254.5018843766,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6410797.218487313,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,6433676.2320484789,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6467496.8862504447,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,6490670.9725403115,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6529087.0523869516,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6553421.9281698167,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6581024.2820808804,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6587250.2956023207,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6603869.1429154025,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6604589.7475700052,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6624596.2872478478,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,6666921.4199926089,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6679567.3425757559,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6688141.8462818498,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,6719461.4030894777,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6731571.9227209799,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6773447.4550558412,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6775879.9936697269,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6780148.8385172803,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6805727.7245492944,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6813339.4873837158,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6819481.9564897036,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6828598.2661106056,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6848378.657183338,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6912564.1890182933,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6924798.1396941105,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6939310.3937061401,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6954157.3668202516,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6965311.6575262966,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6974176.759030845,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7006684.0136120161,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7050555.2882817192,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7053958.7025542101,0.16666666666666666
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7061160.2512472318,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7074576.1000088127,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,7074623.5246801525,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,7107569.0492072562,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7131364.7654508594,0.16666666666666666
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,7155511.4291983163,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7160351.9047497725,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7168980.452555893,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7170420.7715075575,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7178419.4139490053,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7191532.5545411408,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,7195064.1593417516,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7211176.8597934879,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7212468.6958373077,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7240001.0974914394,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7262004.8255477948,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7308908.1971545592,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7332777.3532871874,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7347241.382511056,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7370425.219904596,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7393975.7446277048,0.16666666666666666
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7435311.7616589181,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7441794.2468050215,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7442210.8535356196,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7446712.3400359591,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7447195.8320346605,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7449622.1296306681,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7451293.9467310701,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,7496546.0540149873,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7566855.147561417,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7573283.8425103361,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7601072.4224922704,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7602061.4613537267,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7618062.9719121605,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7635427.2180894129,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7644983.0391980978,0.0
