被纠缠陡想起婚时情景,0,被纠缠陡想起婚时情景，
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5745151.5629162053,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5773308.1800051918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5789042.7577114133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5798560.2328816894,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,5806353.7771026753,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,5807910.8853121186,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5826336.2768438812,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5835105.8823178317,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5838472.559632143,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5847449.8029363705,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5852779.0585073642,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5872160.8611614769,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5876894.1228867825,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5900938.4361224659,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5902090.9183554798,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5911476.9410729855,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,5917704.8016203791,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5929336.7782590957,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5943593.6111086588,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5945558.1663044421,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5949714.9196937717,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5985001.0901856795,0.1
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6009787.0526682874,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6034935.1049846429,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6050815.2158414843,0.1
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6061430.5595994275,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6068601.3312721252,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6085073.3640960129,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6085739.281355802,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6092850.7262105532,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6121307.7878629267,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6157528.5138687054,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6230096.6505684666,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6235239.3975255033,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6302923.992782901,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6310893.6689594686,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,6350047.780815267,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6371553.3098201863,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6374115.3895637663,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6402381.2105268687,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6425464.4435155718,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6438802.7693739282,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6443194.767988136,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6470253.8988627912,0.2
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6470494.7703859974,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6473764.9890724877,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6475075.1988754813,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6488787.5220704731,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,6493631.911047332,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6498371.4536772761,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6505363.7023669723,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6508422.8793343371,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6508422.8793343371,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6535929.4458093615,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6541828.9608404897,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6559648.5332541224,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6575703.5081723761,0.2
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6580499.4573213328,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6645560.9778124401,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6655648.2234327663,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6663971.4806149378,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6684408.0099872565,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6699499.5343684312,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6711238.9960526666,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6739667.3123624483,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6747534.6968590049,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6748249.9373904569,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6749744.3654002417,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6750940.7495955424,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6766242.7118624076,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6776222.6643610094,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6776552.8323944043,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6778106.6686859624,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,6802327.5605433444,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6844926.9637052175,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6854491.497483083,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6866043.17332331,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6888383.1262227828,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6888741.8203937234,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6891632.3044578582,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,6903243.8152432237,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6909686.7780031255,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6915770.2595494343,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6922322.1782903951,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6933371.6181829041,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6935930.77003452,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6945241.470102598,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6955196.8926845454,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6967863.5727015408,0.2
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6969746.1666549584,0.0
