跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6840110.6264226604,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6840348.0257562734,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,6918073.7388039716,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6927782.1556973923,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6973408.0178823201,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6981052.8857016237,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6983705.0089657716,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6995985.8172934726,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6996596.0707639009,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7012454.9289459605,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7039424.53379538,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7047288.4900380811,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7085910.4414615575,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7093567.3958035074,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7109326.6133252112,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7150493.1402516067,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,7160132.3076361027,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7169064.3351955321,0.18181818181818182
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7169072.9651972204,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,7201762.4908092925,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7208935.0754875066,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7208935.0754875066,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7214941.0332266279,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7240534.1221540971,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7305429.5294920336,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7308509.1038553081,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7321342.2260220405,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7333284.8321623448,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,7345006.0422804058,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7347140.8963298621,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7353589.0569881955,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7357504.2795838593,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,7405836.2290692162,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7407057.1205481989,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7419062.2011140445,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7419062.2011140445,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7501817.9420818137,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7512763.7558570923,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7552825.47945177,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7592300.0285193315,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7604758.8404287975,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7611279.9817617275,0.09090909090909091
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,7617258.2949229907,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7639763.9131755335,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7659177.9334228327,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7683291.2445186628,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7726933.3996910583,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7765389.9641218903,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7771388.4995470895,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7789687.5302654961,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7817000.5777695952,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,7844708.6554018985,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7844970.0335709779,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7886251.2021594895,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7894290.1443997305,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7901843.8222314017,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7910297.2162329722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7911599.2265009778,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7915931.9486674443,0.0
