不想团圆在今朝,1,不想团圆在今朝。
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5642117.4498327626,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5667967.2768395115,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5667967.2768395115,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5676285.8482723432,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5681581.7233313406,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5770707.8415865004,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,5792707.7374365088,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5801378.1398263108,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5869107.7570685148,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,5902746.7231125971,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5939290.9784462964,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5952602.0152478181,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5956659.7085268879,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5982904.7737670681,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6010608.1935865534,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6030049.0303113144,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,6066130.5643029409,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6098349.5361136906,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6115387.6210367475,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6119558.2697860766,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6136417.4681319371,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6230645.8442196483,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6242806.9053797722,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6298017.9981316077,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6322113.5262529729,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6372788.1419944018,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6379288.7480216352,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6441861.9458957333,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6458548.6861310489,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6471967.7149126604,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,6481736.5767312227,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6489731.0895878421,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6537840.42072397,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6542620.0164822703,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6658967.4510169737,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6667574.6364767337,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6727314.2690537991,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6763506.8332483247,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6817851.0036798064,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6873669.2156920377,0.2857142857142857
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6882275.0168349268,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6898672.7026651027,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6914388.5634621894,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,6924460.5851846533,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6943599.5741822468,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6960925.600880513,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6963361.7852050038,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6969453.9615261694,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6969508.2502078982,0.14285714285714285
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6988734.1484572655,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7016999.7708207853,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7017703.8517095121,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7041616.6423866581,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7069364.9102879418,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7103705.0890386002,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7104220.6118659619,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7139321.4750604238,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7148060.7422284521,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7165122.9850999741,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7179137.5483416338,0.0
