愿天下有情人都成姻眷,0,愿天下有情人都成姻眷，
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8002648.3906223699,0.1
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8004799.083531145,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8029619.7542256434,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8035105.1706304504,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8039643.0980564952,0.2
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8052971.403010984,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8081954.6750162607,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8106131.7862907518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8179514.7365997443,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8197198.7743686298,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8264454.0304157818,0.2
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8300974.2946967445,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8363322.7903904971,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8381398.5963526079,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8397033.4845674708,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8399456.7214285284,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8441713.3580215871,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8509074.2863826379,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8541769.4112134632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8546210.0778013282,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8593029.2729068752,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,8608395.6749809235,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8622452.4231935237,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8687940.4568876028,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8750282.9693760853,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8785147.6764889453,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8792974.351648571,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8794620.9622686785,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8794810.8107936531,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8861298.8508293964,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8861670.9771327619,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8889917.7846599463,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8958565.3084242605,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8988689.6765162908,0.1
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,9011129.882444093,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9021310.4526481219,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9036660.8718211241,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9040375.4610715117,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9055176.9009081572,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9150255.0063649304,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9163341.6549816001,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9165337.0646237601,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9165337.0646237601,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9175328.6421696786,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9205798.7692437265,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9207812.6353761312,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9228113.0168294441,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,9228422.91755604,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9245840.6726445593,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9249847.6327623464,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9294181.9536424894,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,9296392.4580870438,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,9322254.5755421165,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,9323742.0314287171,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9327171.7931731567,0.1
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,9331719.5318731349,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9359703.9954313021,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9396107.3251475953,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9447718.2462854832,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9476964.9431913067,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9481717.0683661141,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,9499413.7666922379,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9530957.1022147033,0.2
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9536817.9142133202,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9545566.7099906038,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9581938.6058686208,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9588010.7740295064,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9600869.013677109,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9614997.2674217559,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9675579.0027168728,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9736968.0978234466,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9766417.3705011588,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9821422.6620492265,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9830643.6574468371,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9835154.4953372627,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9848728.1691490412,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9883149.939434642,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9943042.5789277237,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9950188.6899423935,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9959389.0179945733,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9965150.7843248248,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10017777.779952252,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10023812.649756597,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10033537.398446705,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10083997.6387539,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,10139321.803647758,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,10191598.396770654,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10239859.464545306,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10257182.209425697,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10284974.071584908,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10286062.666703798,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10295319.2324569,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10346927.474020436,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10369544.427993767,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10374770.73680743,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,10390443.873653091,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10396632.660506014,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10408513.271729164,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10419339.819307923,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10421108.727938291,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10439472.749024956,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,10461225.69347256,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10499213.873598866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10499213.873598866,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10529500.275334412,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10612401.92003415,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10629180.562924571,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10644993.701394891,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,10695972.533916449,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,10739823.759120623,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10812844.468031656,0.1
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10816504.161471799,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10833839.449995825,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10836455.757978687,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10841316.223860176,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10848625.829109691,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10882425.516461262,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,10911220.904738484,0.1
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10919074.529031062,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,10941492.799680857,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10964547.27617893,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,11000020.384703781,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11035882.322773311,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11062408.797845574,0.1
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,11062880.8194647,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,11074063.347943082,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,11116960.749936216,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,11145497.484536709,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,11196240.036818579,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,11199638.240444014,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11204903.667561667,0.1
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,11237717.400476959,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11238645.209712889,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11351405.217644291,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,11398301.161611024,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11402163.551722145,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11427596.763754396,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11457089.846606789,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11468808.712468199,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,11469536.47960934,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11469772.801406248,0.3
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,11477475.283118825,0.1
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,11480208.156587929,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11482757.503329659,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11483379.531969771,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11503408.85056874,0.0
