唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6635426.9226038195,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6636205.4510251777,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6653077.301788847,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6677299.8319087112,0.1
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6692156.0244412981,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6731199.0579011552,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6740727.9282749407,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6756236.0819257926,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6780442.70983891,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6796147.5145872133,0.1
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6800907.2276449371,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6804452.103492545,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6835488.2271891786,0.1
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6850997.0674538789,0.1
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6855062.6847420922,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6888697.8910734542,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6892604.2293556044,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6977823.9923012927,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7001162.123133528,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7014506.3302099742,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7021522.6664687283,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7033466.6005427316,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7040239.7588186758,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7048496.9443165055,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7083264.9337892681,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7103773.5090851551,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7138899.1786602791,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7143273.0642985161,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7174412.2391010895,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7179577.9060895527,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7180954.1016721465,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7198117.6116441069,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7242236.5199518846,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7271902.3714766996,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7305367.0223696837,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7326511.8042140193,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7363812.9461079929,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7379473.3077126872,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7447320.1369344397,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7480911.8560320372,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7516810.2120254878,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7521047.4215610903,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7523145.1794506181,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7559331.5538336765,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7584777.0948711634,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7609984.4701190181,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7645952.1350885751,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7650453.5925643723,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7671951.8324572183,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,7722334.6146154059,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7788736.3364010965,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7791615.1133369841,0.1
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7798011.153617207,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7815112.4089513393,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7835444.4084403804,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7844643.5681254389,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7866645.9927888559,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7871784.9503304111,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7916937.6386701455,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7920309.1077859914,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7921463.2164433515,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7922984.9685499137,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7939374.691451516,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7943869.2690264024,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7997101.5854395553,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8000558.2997023258,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8088033.3498076368,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8105270.1880224412,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8121004.0652910639,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8149532.5120057222,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8173714.6222497653,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8176750.2544011101,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8176750.2544011101,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8178616.4831977738,0.1
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,8181717.3647276741,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8185187.8800355038,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8189633.2735401746,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,8208276.587016332,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8237538.5376631981,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8241752.4840003401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8242860.072585837,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8309857.9344307454,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8346982.9761494817,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8375456.7934185062,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8385893.1299775215,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8410220.576984195,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8410998.8308283444,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8419046.4090999216,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8420107.3360223193,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8420107.3360223193,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8428409.4897011053,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8432958.0455278922,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8435848.7359930743,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8510796.1609737109,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8524328.5646678731,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8535604.0058962684,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8542626.289010318,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8549894.7946470734,0.0
