只见他一封书信握手里,0,只见他一封书信握手里，
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7134182.8533158451,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7153362.6451252513,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7160085.5238792207,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7170851.1567079434,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7192022.6623982955,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7213925.2443584073,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7215353.6812172653,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7215939.2110450752,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7229942.3223808436,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7252148.9639471099,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7262035.2804852379,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,7320983.7080566287,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7324011.8830801854,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7329829.9826692371,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7345809.6090998175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7367942.482833623,0.1
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,7369101.3009730773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7379543.011566421,0.1
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7379543.011566421,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7385911.2512281956,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7389206.9825686533,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7397651.2398890229,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7419631.0197562976,0.2
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,7443764.5074249692,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7444007.1827880172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7495505.1696890155,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7500107.9535979731,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7509668.7821695739,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7518658.3524729842,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7541852.7935342882,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7553995.7401625533,0.2
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7573457.8038261253,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7600961.6096789287,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7615666.8793258509,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7622892.8949085474,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7631224.7649364155,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7648956.5896457396,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,7650167.1295221252,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,7662725.5410126736,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7680660.3855985086,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7688912.4755662745,0.1
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7693373.9958220711,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,7703625.4493060652,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7742149.2220021002,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7749674.4933314594,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,7753708.5899635032,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7771668.6763072247,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,7796042.7001290182,0.1
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7801077.7539045475,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,7801343.7199135879,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7811004.8893354181,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7814864.2012707088,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7814864.2012707088,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7820269.154408522,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7823395.4529412957,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7827908.7254504571,0.1
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7848614.4511906048,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7852001.1961386101,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7884908.299434578,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7900564.2330389544,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7901897.9682278493,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7920457.3684293795,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,7932333.0348306466,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7949726.2762513151,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7952515.8754364243,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7977038.1778660156,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8085836.2876977287,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8091473.3015831541,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8101421.8639683258,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8116265.69376003,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,8133179.6134981234,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8150525.300895161,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8159273.8125998443,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8159958.6277787602,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8182493.5662829755,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8198364.722205407,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,8221308.3436248899,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8239859.106340616,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8252019.6878544567,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8261713.1307655489,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8281287.0266036987,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8282216.3437290061,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8293046.2274148436,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8299838.5018157102,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8311636.9636825901,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8311636.9636825901,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8313362.2796528991,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8313362.2796528991,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8329631.527532828,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8331808.9702551151,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8332409.9404765489,0.1
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8332537.9497141177,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8342599.5833241167,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8350682.3299606238,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8352843.8997562211,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8367461.1279429626,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8372298.1442438196,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8373812.802502824,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8381020.2451333366,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8390773.703511104,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8392779.4787789155,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8392897.9291983228,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8400670.722031001,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8402907.2042416129,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8410154.5301838666,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8454000.9072773103,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8466715.060797371,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8476800.7771332581,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8516780.8281015065,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8532698.7886903454,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8542639.1346476115,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,8566948.2716585677,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,8570065.053419061,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8595860.4014439881,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8596253.5887231883,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,8605327.8723636102,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8625101.8644459825,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8648916.2962640021,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8652115.8706742562,0.0
