自那日与六郎阵前相见,0,自那日与六郎阵前相见，
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12800167.09932836,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,12825823.195346713,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,12831766.508917887,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12855341.217836738,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12865130.733262811,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,12897519.082270082,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,12897519.082270082,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12957750.779610619,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12966252.340522621,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,12966991.866751449,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,13017953.649118138,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,13077613.555572784,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,13117848.259243563,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,13132429.838634977,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,13135978.331291808,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,13156745.324303677,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,13163699.025028704,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13182361.560311142,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,13191648.550524894,0.3
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,13199602.930334488,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,13230241.569484239,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,13246183.457155358,0.1
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,13283592.657687303,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,13297152.482951432,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,13309765.512626357,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13314565.142397091,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,13337529.674557315,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,13346932.758495832,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,13358206.310354268,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,13379154.561323833,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,13392370.352042483,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,13470689.95541361,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,13514051.206007045,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,13566912.123092622,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,13604063.156198997,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,13609859.668375991,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,13615057.617616044,0.4
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,13621849.759047111,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,13623936.388069021,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,13625620.385340547,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,13639519.019198453,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,13666268.864046114,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,13675933.695867868,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,13700317.737622403,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,13753658.575020261,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,13784501.826854529,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,13811099.441457501,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,13817231.166058406,0.2
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,13831864.985870572,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,13849321.932317222,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13857613.886474289,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13866759.918939983,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,13942561.237249421,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,13967807.82676357,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,13967807.82676357,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,13983724.671538532,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,13984079.302304875,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,13993635.961246319,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,14002268.405164333,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,14011800.732609833,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,14094940.324393637,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,14129695.488484137,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,14135590.841736173,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,14146205.561151186,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,14160614.067122292,0.1
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,14166247.060427569,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,14177923.009921025,0.1
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,14181045.796778491,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,14185927.093843155,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,14192332.267626679,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,14231648.688427532,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,14239529.028481293,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,14243337.587233059,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,14259170.952790307,0.1
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,14281246.291176397,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,14365274.825347571,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,14366612.496330598,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,14371916.51182048,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,14390830.58621647,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,14408155.830491869,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,14408682.753986385,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,14408682.753986385,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,14430088.847220039,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,14431349.797942452,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,14433819.532404505,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,14450048.873823937,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,14457930.073153162,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,14484444.928123422,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,14516598.460115734,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,14548647.584391059,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,14548861.275305208,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,14579416.568954488,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,14590008.732552784,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,14642442.179306621,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,14658380.624320505,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,14671526.232868114,0.0
