猛听得金鼓响画角声震,36,猛听得金鼓响画角声震，
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7844550.1541057583,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7859706.0573302638,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7868649.3153944332,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7888260.2495020339,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7966810.8471152224,0.1
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7968994.2576061515,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7977055.882691171,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7986581.7612294676,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8021235.781548311,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8057973.9077643985,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8082805.7820740389,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8097339.9272913421,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,8119010.0770502947,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8132874.8576458469,0.1
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8190418.834344063,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8213696.2784169074,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8223325.0231118277,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8417999.5558883194,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8428008.3489727825,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8437234.5420253538,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8479369.9107472133,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8493317.2261583954,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8494341.6357638631,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8506236.6593922898,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8518228.9615971334,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,8524664.7044411376,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8528277.8890485223,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8550805.1805629451,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8581363.2390439548,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8612011.5827742964,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8621074.0983398594,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,8649446.7988919951,0.2
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8663766.5861061066,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8761886.8327519223,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8770155.1618398186,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8778342.4170901496,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8781766.9861208331,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8787165.5029048435,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8790133.0850997865,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8794773.5256488062,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8821592.4754603896,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8877012.8858061433,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8900291.4067464415,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8974951.2477066088,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8990598.3099399377,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8993746.122541599,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8993983.9191551562,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9047836.3483160883,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9058793.5989698786,0.3
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9064014.626431223,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9094328.3720485494,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9141618.5265602656,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9144452.0213722233,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9151781.0675068423,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9180459.0696577206,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,9196460.9272192828,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9272011.2134769578,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9287977.4812198617,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9293111.5363858305,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9307438.1773154531,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9388308.3192621209,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9400855.5410337411,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9409250.4550804012,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9426230.863081241,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,9502667.5774399973,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9511070.2123430334,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9518311.2686759904,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9546497.3039721921,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9560182.455376016,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9560182.455376016,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9616504.3976814318,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9620080.8297064211,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9631428.0274704825,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,9633550.1056376211,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9640415.8539983742,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9644456.2574493103,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9672302.4507045411,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9677102.9350403659,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9699298.6684817113,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9712615.5586660225,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9733181.7653089855,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9733851.4820126574,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9736777.7152737621,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9744701.8263537157,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9770591.8326309696,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9771119.3424716908,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9774929.792906953,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9792041.4404254947,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9806415.636229815,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9845547.5911497679,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9865094.3851034548,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9870907.8127605002,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9878067.4137075245,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9892742.145689141,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9919127.8423702586,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9920830.7535333335,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9928333.0227285977,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9935690.2627276927,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9943771.2639512699,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9969250.9442350343,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,10000747.630188053,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10011190.070790004,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10026664.382783167,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10030420.442530079,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10040905.433548845,0.3
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,10075718.942270674,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10083813.943085527,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10096197.614048805,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10097088.633014701,0.1
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10097165.761653153,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10138668.121954547,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10145326.278599449,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10151355.033413863,0.1
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,10159915.850247514,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10173454.996951578,0.0
